,Film,Month,Monthly_Cume_Gross,Monthly_Gross,Monthly_Gross_Mil,Studio
0,Choose Me,8.0,125752.0,74704.0,0.0,Island/Alive
0,A Private Function,8.0,11508490.0,320343.0,0.0,Island/Alive
0,Kiss of the Spider Woman,8.0,5191934.0,2035925.0,2.0,Island/Alive
0,The Hit,8.0,4073529.0,101061.0,0.0,Island/Alive
0,Choose Me,9.0,1246671.0,267606.0,0.0,Island/Alive
0,Kiss of the Spider Woman,9.0,16841204.0,3428439.0,3.0,Island/Alive
0,A Private Function,9.0,7402592.0,91536.0,0.0,Island/Alive
0,Choose Me,10.0,2185285.0,274690.0,0.0,Island/Alive
0,Kiss of the Spider Woman,10.0,30561968.0,3237933.0,3.0,Island/Alive
0,Choose Me,11.0,7507286.0,1398526.0,1.0,Island/Alive
0,Kiss of the Spider Woman,11.0,52727633.0,2532418.0,2.0,Island/Alive
0,Subway,11.0,20746.0,20746.0,0.0,Island/Alive
0,Choose Me,12.0,6950319.0,327445.0,0.0,Island/Alive
0,Kiss of the Spider Woman,12.0,47151972.0,742400.0,0.0,Island/Alive
0,A Private Function,3.0,543916.0,158334.0,0.0,Island/Alive
0,The Hit,3.0,123279.0,46494.0,0.0,Island/Alive
0,A Private Function,4.0,1457315.0,342893.0,0.0,Island/Alive
0,The Hit,4.0,603926.0,212378.0,0.0,Island/Alive
0,A Private Function,5.0,5470934.0,969474.0,0.0,Island/Alive
0,The Hit,5.0,2499563.0,320187.0,0.0,Island/Alive
0,The Hit,6.0,2626544.0,90794.0,0.0,Island/Alive
0,A Private Function,6.0,3576697.0,182410.0,0.0,Island/Alive
0,Kiss of the Spider Woman,6.0,8146.0,8146.0,0.0,Island/Alive
0,A Private Function,7.0,8010970.0,251835.0,0.0,Island/Alive
0,The Hit,7.0,2952250.0,78496.0,0.0,Island/Alive
0,Kiss of the Spider Woman,7.0,155204.0,124530.0,0.0,Island/Alive
0,Kiss of the Spider Woman,1.0,63065102.0,823997.0,0.0,Island/Alive
0,Kiss of the Spider Woman,2.0,55103592.0,1443360.0,1.0,Island/Alive
