,Month,Studio,avg_Monthly_cume_Gross,avg_Monthly_gross,Total_gross_mil
0,8,Focus Features,421414630.244,27812648.4908,27.8126484908
0,10,Focus Features,420820520.456,27767618.5139,27.7676185139
0,11,Focus Features,420292909.645,27731866.6601,27.7318666601
0,12,Focus Features,419685321.359,27694938.6609,27.6949386609
0,1,Focus Features,419104795.734,27662823.246,27.662823246
0,2,Focus Features,418658589.598,27640920.9294,27.6409209294
0,3,Focus Features,418247136.951,27616141.2746,27.6161412746
0,9,Focus Features,417671582.795,27598934.2181,27.5989342181
0,9,Open Road,260831108.233,17230020.2647,17.2300202647
0,10,Open Road,260739381.301,17226083.6114,17.2260836114
0,11,Open Road,260672723.466,17225085.3627,17.2250853627
0,1,Open Road,260624671.865,17228657.9929,17.2286579929
0,2,Open Road,260590224.892,17227620.0208,17.2276200208
0,3,Open Road,260558416.15,17225448.4014,17.2254484014
0,4,Open Road,260525109.853,17223152.6417,17.2231526417
0,5,Open Road,260454555.728,17218381.3754,17.2183813754
0,8,Open Road,260368512.966,17214983.9284,17.2149839284
0,12,Open Road,260325065.185,17211882.1922,17.2118821922
0,6,Open Road,260282891.592,17210075.4083,17.2100754083
0,7,Open Road,260240855.721,17207346.3796,17.2073463796
0,9,Roadside Attractions,302423736.262,19963213.8033,19.9632138033
0,10,Roadside Attractions,302172056.931,19946492.9923,19.9464929923
0,11,Roadside Attractions,301938695.825,19931233.5091,19.9312335091
0,12,Roadside Attractions,301737683.002,19919221.1521,19.9192211521
0,1,Roadside Attractions,301542039.202,19905654.4454,19.9056544454
0,2,Roadside Attractions,301322510.956,19890480.1393,19.8904801393
0,3,Roadside Attractions,301104913.768,19875470.3745,19.8754703745
0,4,Roadside Attractions,300887704.768,19861428.0585,19.8614280585
0,5,Roadside Attractions,300666415.218,19847885.7103,19.8478857103
0,6,Roadside Attractions,300450776.288,19834420.9655,19.8344209655
0,7,Roadside Attractions,300242026.974,19819866.5396,19.8198665396
0,8,Roadside Attractions,300034760.415,19805623.9364,19.8056239364
0,11,Weinstein Co.,326602902.318,21551649.3066,21.5516493066
0,12,Weinstein Co.,326427815.944,21554513.3976,21.5545133976
0,1,Weinstein Co.,326435598.857,21578696.9167,21.5786969167
0,2,Weinstein Co.,326491807.766,21586291.7565,21.5862917565
0,3,Weinstein Co.,326637129.207,21575401.9126,21.5754019126
0,4,Weinstein Co.,326728261.597,21559269.0382,21.5592690382
0,5,Weinstein Co.,326710880.19,21540426.6683,21.5404266683
0,9,Weinstein Co.,326593845.164,21539183.0456,21.5391830456
0,10,Weinstein Co.,326477738.363,21521622.5732,21.5216225732
0,6,Weinstein Co.,326343621.776,21506853.784,21.506853784
0,7,Weinstein Co.,326159625.354,21497217.2983,21.4972172983
0,8,Weinstein Co.,325949894.735,21505626.7749,21.5056267749
0,2,A24,254606059.118,16838825.5304,16.8388255304
0,3,A24,254542448.818,16834732.8954,16.8347328954
0,4,A24,254483409.892,16830585.8273,16.8305858273
0,5,A24,254418141.824,16826492.5789,16.8264925789
0,6,A24,254348831.105,16822707.3763,16.8227073763
0,7,A24,254284019.773,16818074.2414,16.8180742414
0,8,A24,254215595.61,16813042.7413,16.8130427413
0,9,A24,254138628.669,16807727.5796,16.8077275796
0,10,A24,254058984.038,16802441.3771,16.8024413771
0,11,A24,254014773.385,16799666.0145,16.7996660145
0,1,A24,253971528.498,16797490.6946,16.7974906946
0,12,A24,253944299.62,16795562.6175,16.7955626175
0,8,Fox Searchlight,597597160.674,39884103.0113,39.8841030113
0,9,Fox Searchlight,595437528.863,39748154.7579,39.7481547579
0,10,Fox Searchlight,593384470.386,39612414.8978,39.6124148978
0,11,Fox Searchlight,591530561.163,39486357.1674,39.4863571674
0,3,Fox Searchlight,590093052.451,39373450.6188,39.3734506188
0,4,Fox Searchlight,588671164.451,39251476.1701,39.2514761701
0,6,Fox Searchlight,586962168.379,39128047.3936,39.1280473936
0,7,Fox Searchlight,585104894.523,39003410.5529,39.0034105529
0,2,Fox Searchlight,583677850.478,38900345.4747,38.9003454747
0,5,Fox Searchlight,582183702.159,38778223.2404,38.7782232404
0,12,Fox Searchlight,580592807.313,38688337.4234,38.6883374234
0,1,Fox Searchlight,579190767.019,38615004.5296,38.6150045296
0,6,Broad Green Pictures,244363187.491,16168868.9654,16.1688689654
0,7,Broad Green Pictures,244320029.938,16167556.681,16.167556681
0,8,Broad Green Pictures,244279547.166,16164578.9998,16.1645789998
0,9,Broad Green Pictures,244247670.45,16163361.2837,16.1633612837
0,10,Broad Green Pictures,244211736.209,16160428.1171,16.1604281171
0,11,Broad Green Pictures,244189693.372,16159057.478,16.159057478
0,12,Broad Green Pictures,244167460.496,16157375.6325,16.1573756325
0,3,Broad Green Pictures,244135409.293,16155302.5842,16.1553025842
0,4,Broad Green Pictures,244103543.934,16153187.2298,16.1531872298
0,5,Broad Green Pictures,244071545.407,16151067.2793,16.1510672793
0,1,Broad Green Pictures,244058982.39,16150005.3341,16.1500053341
0,3,Bleecker Street,245589309.516,16247715.1236,16.2477151236
0,4,Bleecker Street,245546345.128,16246125.7043,16.2461257043
0,5,Bleecker Street,245506435.162,16243320.0402,16.2433200402
0,6,Bleecker Street,245467254.611,16241194.2521,16.2411942521
0,7,Bleecker Street,245428721.666,16238338.4891,16.2383384891
0,8,Bleecker Street,245388898.418,16236600.7622,16.2366007622
0,9,Bleecker Street,245353578.215,16234155.043,16.234155043
0,10,Bleecker Street,245312005.388,16231175.0166,16.2311750166
0,11,Bleecker Street,245280860.836,16229287.0638,16.2292870638
0,12,Bleecker Street,245250509.505,16227390.6346,16.2273906346
0,1,Bleecker Street,245220626.702,16225344.0978,16.2253440978
0,2,Bleecker Street,245190619.199,16223269.932,16.223269932
0,3,Sony Pictures Classics,701365945.06,46938384.1359,46.9383841359
0,4,Sony Pictures Classics,698143110.389,46707465.8134,46.7074658134
0,5,Sony Pictures Classics,694939168.181,46471987.6737,46.4719876737
0,6,Sony Pictures Classics,691794791.82,46240824.1369,46.2408241369
0,7,Sony Pictures Classics,688721591.707,46013185.7455,46.0131857455
0,8,Sony Pictures Classics,685567295.766,45787056.216,45.787056216
0,9,Sony Pictures Classics,682580627.315,45566068.1917,45.5660681917
0,10,Sony Pictures Classics,679589119.513,45343699.263,45.343699263
0,11,Sony Pictures Classics,676747386.862,45134828.7441,45.1348287441
0,12,Sony Pictures Classics,673863735.78,44930955.6588,44.9309556588
0,1,Sony Pictures Classics,671097556.372,44739056.4585,44.7390564585
0,2,Sony Pictures Classics,668217094.437,44544927.1804,44.5449271804
0,6,EuropaCorp,244042909.53,16148943.2743,16.1489432743
0,9,EuropaCorp,244020846.942,16147926.2621,16.1479262621
0,10,EuropaCorp,243997843.071,16145827.3436,16.1458273436
0,11,EuropaCorp,243968992.15,16144152.0027,16.1441520027
0,8,EuropaCorp,243957004.185,16144302.3506,16.1443023506
