,Film,Month,Monthly_Cume_Gross,Monthly_Gross,Monthly_Gross_Mil,Studio
0,Heavy Metal,8.0,41997360.0,14808101.0,14.0,Sony Pictures
0,Things Are Tough All Over,8.0,58169548.0,18167373.0,18.0,Sony Pictures
0,Annie,8.0,196087284.0,8011867.0,8.0,Sony Pictures
0,Krull,8.0,28913498.0,7811810.0,7.0,Sony Pictures
0,The Karate Kid,8.0,1005880923.0,28410499.0,28.0,Sony Pictures
0,Ghostbusters,8.0,1606574923.0,60722563.0,60.0,Sony Pictures
0,Sheena,8.0,4159860.0,4159860.0,4.0,Sony Pictures
0,Fright Night,8.0,86914994.0,22395406.0,22.0,Sony Pictures
0,St. Elmo's Fire,8.0,158391629.0,6398612.0,6.0,Sony Pictures
0,Silverado,8.0,122443860.0,11152865.0,11.0,Sony Pictures
0,The Bride,8.0,2667974.0,2667974.0,2.0,Sony Pictures
0,"The Karate Kid, Part II",8.0,450253987.0,26778775.0,26.0,Sony Pictures
0,A Fine Mess,8.0,3845615.0,3845615.0,3.0,Sony Pictures
0,Labyrinth,8.0,12614225.0,268100.0,0.0,Sony Pictures
0,Stand by Me,8.0,21133751.0,12955266.0,12.0,Sony Pictures
0,About Last Night...,8.0,56051328.0,5223448.0,5.0,Sony Pictures
0,Armed and Dangerous,8.0,16947829.0,10416512.0,10.0,Sony Pictures
0,La Bamba,8.0,128207231.0,21211755.0,21.0,Sony Pictures
0,The Big Easy,8.0,4899119.0,4300396.0,4.0,Sony Pictures
0,Lock Up,8.0,8641204.0,8641204.0,8.0,Sony Pictures
0,Casualties of War,8.0,19531878.0,11853448.0,11.0,Sony Pictures
0,The Freshman,8.0,27217590.0,8454870.0,8.0,Sony Pictures
0,Air America,8.0,31531356.0,19311006.0,19.0,Sony Pictures
0,Flatliners,8.0,119295310.0,41142023.0,41.0,Sony Pictures
0,Boyz n the Hood,8.0,130927438.0,11027403.0,11.0,Sony Pictures
0,Terminator 2: Judgment Day,8.0,1051873425.0,45774121.0,45.0,Sony Pictures
0,Double Impact,8.0,73574254.0,24114567.0,24.0,Sony Pictures
0,City Slickers,8.0,112909569.0,2232417.0,2.0,Sony Pictures
0,A League of Their Own,8.0,369376365.0,19349700.0,19.0,Sony Pictures
0,Mo' Money,8.0,66093276.0,8571507.0,8.0,Sony Pictures
0,Single White Female,8.0,70232954.0,30810084.0,30.0,Sony Pictures
0,Basic Instinct,8.0,115526729.0,1004400.0,1.0,Sony Pictures
0,Honeymoon in Vegas,8.0,10267844.0,10267844.0,10.0,Sony Pictures
0,In the Line of Fire,8.0,351732354.0,23130059.0,23.0,Sony Pictures
0,Sleepless in Seattle,8.0,107135922.0,3801438.0,3.0,Sony Pictures
0,Needful Things,8.0,7113303.0,7113303.0,7.0,Sony Pictures
0,It Could Happen To You,8.0,19379561.0,7423688.0,7.0,Sony Pictures
0,First Knight,8.0,73097700.0,1583890.0,1.0,Sony Pictures
0,Forget Paris,8.0,66216233.0,362051.0,0.0,Sony Pictures
0,The Net,8.0,143654338.0,27631427.0,27.0,Sony Pictures
0,Bad Boys,8.0,261728296.0,590705.0,0.0,Sony Pictures
0,Johnny Mnemonic,8.0,37890403.0,220714.0,0.0,Sony Pictures
0,The Baby-Sitters Club,8.0,12989821.0,7738698.0,7.0,Sony Pictures
0,Beyond Rangoon,8.0,2790932.0,2790932.0,2.0,Sony Pictures
0,Desperado,8.0,11030663.0,11030663.0,11.0,Sony Pictures
0,Multiplicity,8.0,58386150.0,4250940.0,4.0,Sony Pictures
0,Striptease,8.0,31295417.0,140296.0,0.0,Sony Pictures
0,The Cable Guy,8.0,237723711.0,2728913.0,2.0,Sony Pictures
0,Matilda,8.0,123533501.0,30744194.0,30.0,Sony Pictures
0,The Craft,8.0,73716800.0,320886.0,0.0,Sony Pictures
0,The Fan,8.0,40543936.0,17100398.0,17.0,Sony Pictures
0,Alaska,8.0,24067000.0,9297418.0,9.0,Sony Pictures
0,Solo,8.0,7578044.0,4472122.0,4.0,Sony Pictures
0,The Spitfire Grill,8.0,772292.0,538784.0,0.0,Sony Pictures
0,The Fifth Element,8.0,314822750.0,1244242.0,1.0,Sony Pictures
0,Men in Black,8.0,1128284373.0,35396776.0,35.0,Sony Pictures
0,Anaconda,8.0,261058706.0,952674.0,0.0,Sony Pictures
0,Air Force One,8.0,647102327.0,100394153.0,100.0,Sony Pictures
0,My Best Friend's Wedding,8.0,580440486.0,13836011.0,13.0,Sony Pictures
0,Masterminds,8.0,3322524.0,1860432.0,1.0,Sony Pictures
0,Excess Baggage,8.0,7179415.0,7179415.0,7.0,Sony Pictures
