,Film,Month,Monthly_Cume_Gross,Monthly_Gross,Monthly_Gross_Mil,Studio
0,Star Trek: The Motion Picture,12.0,44657497.0,27583976.0,27.0,Paramount Pictures
0,Raiders of the Lost Ark,12.0,172458737.0,176175689.0,176.0,Paramount Pictures
0,An Officer and a Gentleman,12.0,531745591.0,9935482.0,9.0,Paramount Pictures
0,48 Hrs.,12.0,65592007.0,25201251.0,25.0,Paramount Pictures
0,Airplane II: The Sequel,12.0,57027517.0,21072176.0,21.0,Paramount Pictures
0,Terms of Endearment,12.0,120535331.0,36377551.0,36.0,Paramount Pictures
0,Vertigo,12.0,2283814.0,382942.0,0.0,Paramount Pictures
0,The Keep,12.0,7187850.0,3354329.0,3.0,Paramount Pictures
0,Uncommon Valor,12.0,29322798.0,14894219.0,14.0,Paramount Pictures
0,Falling in Love,12.0,32416675.0,4092778.0,4.0,Paramount Pictures
0,Beverly Hills Cop,12.0,218323261.0,83641130.0,83.0,Paramount Pictures
0,Young Sherlock Holmes,12.0,32405822.0,12572851.0,12.0,Paramount Pictures
0,Clue,12.0,17645412.0,9491382.0,9.0,Paramount Pictures
0,Star Trek IV: The Voyage Home,12.0,223916482.0,44965672.0,44.0,Paramount Pictures
0,Top Gun,12.0,168040072.0,880384.0,0.0,Paramount Pictures
0,Crocodile Dundee,12.0,431049787.0,22566620.0,22.0,Paramount Pictures
0,The Golden Child,12.0,89378227.0,45597762.0,45.0,Paramount Pictures
0,Fatal Attraction,12.0,479512665.0,14691694.0,14.0,Paramount Pictures
0,"Planes, Trains & Automobiles",12.0,104935048.0,23068191.0,23.0,Paramount Pictures
0,Eddie Murphy Raw,12.0,40470532.0,26939719.0,26.0,Paramount Pictures
0,Scrooged,12.0,220552130.0,33689180.0,33.0,Paramount Pictures
0,The Naked Gun: From the Fil…,12.0,151021800.0,49489012.0,49.0,Paramount Pictures
0,Harlem Nights,12.0,194908003.0,15555565.0,15.0,Paramount Pictures
0,We're No Angels,12.0,8735959.0,5734949.0,5.0,Paramount Pictures
0,Ghost,12.0,203616313.0,2038628.0,2.0,Paramount Pictures
0,The Godfather: Part III,12.0,36447884.0,22423901.0,22.0,Paramount Pictures
0,The Addams Family,12.0,320295241.0,35340767.0,35.0,Paramount Pictures
0,Star Trek VI: The Undiscove…,12.0,154983989.0,55862004.0,55.0,Paramount Pictures
0,Leap of Faith,12.0,17559163.0,12466770.0,12.0,Paramount Pictures
0,Addams Family Values,12.0,118399739.0,10012919.0,10.0,Paramount Pictures
0,Wayne's World 2,12.0,121355073.0,41282458.0,41.0,Paramount Pictures
0,Clear and Present Danger,12.0,607487772.0,1171403.0,1.0,Paramount Pictures
0,Forrest Gump,12.0,1188577635.0,4468671.0,4.0,Paramount Pictures
0,Star Trek: Generations,12.0,330721237.0,19875593.0,19.0,Paramount Pictures
0,The Browning Version,12.0,390095.0,18816.0,0.0,Paramount Pictures
0,Drop Zone,12.0,66206844.0,23927413.0,23.0,Paramount Pictures
0,I.Q.,12.0,20938071.0,14278221.0,14.0,Paramount Pictures
0,Nobody's Fool,12.0,580342.0,414228.0,0.0,Paramount Pictures
0,Milk Money,12.0,35719255.0,428226.0,0.0,Paramount Pictures
0,The Indian in the Cupboard,12.0,71089063.0,53575.0,0.0,Paramount Pictures
0,Vampire in Brooklyn,12.0,37853007.0,210222.0,0.0,Paramount Pictures
0,Nick of Time,12.0,14218178.0,3178421.0,3.0,Paramount Pictures
