,Film,Month,Monthly_Cume_Gross,Monthly_Gross,Monthly_Gross_Mil,Studio
0,Where the Boys Are '84,4.0,32121097.0,10233470.0,10.0,Sony/TriStar
0,Alamo Bay,4.0,375009.0,268756.0,0.0,Sony/TriStar
0,Places in the Heart,4.0,103928649.0,750884.0,0.0,Sony/TriStar
0,Blind Date,4.0,91917148.0,19310016.0,19.0,Sony/TriStar
0,The Seventh Sign,4.0,15130321.0,9564614.0,9.0,Sony/TriStar
0,Q & A,4.0,3747865.0,3747865.0,3.0,Sony/TriStar
0,Thunderheart,4.0,16247030.0,10416875.0,10.0,Sony/TriStar
0,Philadelphia,4.0,216351414.0,3488186.0,3.0,Sony/TriStar
0,Stepmom,4.0,272496463.0,465163.0,0.0,Sony/TriStar
0,The Natural,5.0,44759422.0,22913081.0,22.0,Sony/TriStar
0,Private Resort,5.0,220083.0,220083.0,0.0,Sony/TriStar
0,Rambo: First Blood Part II,5.0,99089216.0,53150922.0,53.0,Sony/TriStar
0,Short Circuit,5.0,60093527.0,23161838.0,23.0,Sony/TriStar
0,Blind Date,5.0,137038489.0,8171394.0,8.0,Sony/TriStar
0,Rambo III,5.0,24634391.0,20172456.0,20.0,Sony/TriStar
0,Q & A,5.0,14943702.0,4760196.0,4.0,Sony/TriStar
0,Philadelphia,5.0,226592459.0,2035006.0,2.0,Sony/TriStar
0,The Second Jungle Book: Mow…,5.0,458467.0,268449.0,0.0,Sony/TriStar
0,The Natural,6.0,170510967.0,16645826.0,16.0,Sony/TriStar
0,Rambo: First Blood Part II,6.0,378248853.0,51727039.0,51.0,Sony/TriStar
0,Lifeforce,6.0,15445157.0,9245331.0,9.0,Sony/TriStar
0,Short Circuit,6.0,58768868.0,7853563.0,7.0,Sony/TriStar
0,Rambo III,6.0,76514939.0,16663948.0,16.0,Sony/TriStar
0,Red Heat,6.0,32232316.0,20288175.0,20.0,Sony/TriStar
0,Philadelphia,6.0,76366090.0,316011.0,0.0,Sony/TriStar
0,The Second Jungle Book: Mow…,6.0,863828.0,110010.0,0.0,Sony/TriStar
