,Month,Studio,avg_Monthly_cume_Gross,avg_Monthly_gross
0,1,RKO Radio Pictures,1010551665.15,67128649.3496
0,7,RKO Radio Pictures,1009886399.27,67096262.6747
0,7,Orion Pictures,1006067705.28,66874943.1759
0,8,Orion Pictures,1002249202.2,66642829.6207
0,9,Orion Pictures,999494912.188,66463003.5406
0,10,Orion Pictures,996904860.535,66302907.2699
0,11,Orion Pictures,993743420.817,66122206.7657
0,12,Orion Pictures,991000013.637,65979873.8869
0,1,Orion Pictures,989115415.511,65875352.498
0,4,Orion Pictures,985477596.857,65645134.595
0,5,Orion Pictures,983007362.237,65471750.2646
0,6,Orion Pictures,979494814.829,65263290.5862
0,2,Orion Pictures,977292144.127,65153955.9758
0,3,Orion Pictures,974431744.473,64983949.5688
0,7,Embassy,973799083.993,64942784.1829
0,8,Embassy,973173247.365,64903003.5505
0,9,Embassy,972237503.448,64841981.3824
0,2,Embassy,971607694.764,64800853.9167
0,6,Embassy,971291888.426,64779827.3758
0,10,Embassy,970673691.299,64738900.9399
0,11,Embassy,970366865.282,64718108.8441
0,12,Embassy,970058605.266,64697152.8133
0,4,Embassy,969450337.921,64656029.6288
0,3,Embassy,969152393.586,64639754.7914
0,5,Embassy,968866809.999,64619135.2915
0,1,Embassy,968553138.423,64598574.7938
0,7,Crown,967941849.724,64557701.9236
0,8,Crown,967650120.136,64538022.8601
0,3,Crown,967043719.512,64499291.4511
0,4,Crown,966447156.479,64461070.99
0,5,Crown,965865152.662,64423214.0304
0,6,Crown,965274832.369,64383129.5055
0,2,Crown,964968610.203,64364345.5654
0,1,Crown,964658551.547,64344991.9651
0,9,Cannon,963141081.399,64255311.6033
0,10,Cannon,961935342.368,64177796.3334
0,3,Cannon,961023938.542,64121818.3945
0,4,Cannon,959494436.0,64025466.2003
0,8,Cannon,958274394.155,63951508.0109
0,5,Cannon,957089194.509,63890902.488
0,6,Cannon,956565332.632,63858494.8867
0,7,Cannon,956293165.363,63838784.8484
0,11,Cannon,955420297.095,63795026.8568
0,12,Cannon,954864798.239,63759396.3903
0,1,Cannon,953980098.466,63703754.9205
0,2,Cannon,953685527.018,63687656.5129
0,9,Pentagon Releasing …,953382587.901,63667629.5172
0,10,Pentagon Releasing …,953084867.154,63648318.6602
0,11,Pentagon Releasing …,952782896.851,63628126.6871
0,9,Artists Releasing C…,952180250.422,63589065.9315
0,10,Artists Releasing C…,951893291.854,63570706.5342
0,11,Artists Releasing C…,951592751.153,63551632.7307
0,12,Artists Releasing C…,951291368.802,63531637.686
0,1,Artists Releasing C…,950996374.365,63512965.8887
0,2,Artists Releasing C…,950711715.329,63494522.9876
0,3,Artists Releasing C…,950431279.332,63476959.8115
0,4,Artists Releasing C…,950134725.903,63457273.9247
0,11,Cinecom,949236343.888,63397335.4937
0,10,Cinecom,948637300.709,63357185.9797
0,12,Cinecom,948040259.005,63317389.7185
0,1,Cinecom,947744500.433,63297762.3255
0,2,Cinecom,947450443.824,63278032.6321
0,3,Cinecom,947159723.552,63258326.127
0,4,Cinecom,946868260.245,63238464.6903
0,5,Cinecom,945983581.303,63178938.2303
0,6,Cinecom,945394641.276,63139074.9336
0,7,Cinecom,945104819.073,63119190.7952
0,8,Cinecom,944222930.521,63059742.7793
0,9,Cinecom,943929574.423,63039852.5865
0,3,MGM/UA Classics,943109006.581,62986155.5093
0,4,MGM/UA Classics,942277179.635,62929247.2268
0,5,MGM/UA Classics,941685763.672,62889856.1026
0,8,MGM/UA Classics,940830053.165,62842857.2001
0,9,MGM/UA Classics,939996150.601,62788144.2109
0,10,MGM/UA Classics,939181825.21,62737484.5947
0,11,MGM/UA Classics,938349850.625,62683489.1161
0,12,MGM/UA Classics,937197950.224,62613816.506
0,1,MGM/UA Classics,936075398.471,62544954.3651
0,2,MGM/UA Classics,935558914.445,62512417.9334
0,6,MGM/UA Classics,934976295.584,62474694.33
0,7,MGM/UA Classics,934394629.381,62436644.8204
0,4,Atlantic,933814749.619,62398571.8624
0,5,Atlantic,933244638.811,62363252.8097
0,6,Atlantic,932392975.674,62306652.1409
0,7,Atlantic,932124841.0,62287863.9994
0,8,Atlantic,931285107.663,62236916.7158
0,9,Atlantic,930761238.133,62202323.0715
0,10,Atlantic,930231215.118,62164994.9714
0,11,Atlantic,929139699.041,62095199.8743
0,12,Atlantic,928588596.758,62059066.1222
0,1,Atlantic,928015564.133,62021821.8028
0,2,Atlantic,927446328.07,61984417.0081
0,3,Atlantic,927168159.147,61967084.4024
0,8,USA Films,926043945.511,61891346.9746
0,9,USA Films,924938940.173,61821809.6471
0,10,USA Films,924115796.957,61766226.0262
0,11,USA Films,923026380.248,61696228.185
0,12,USA Films,921953135.2,61623200.1799
0,1,USA Films,921202256.049,61590511.8782
0,2,USA Films,920531380.53,61555738.881
0,3,USA Films,920002417.182,61516917.0688
0,4,USA Films,919449846.911,61466992.3467
0,5,USA Films,918905673.076,61413342.611
0,6,USA Films,918293104.579,61357391.2499
0,7,USA Films,917504896.092,61301541.4651
0,8,Samuel Goldwyn Films,913892729.258,61062123.9427
