,Film,Month,Monthly_Cume_Gross,Monthly_Gross,Monthly_Gross_Mil,Studio
0,Zapped!,7.0,3611895.0,2401571.0,2.0,Embassy
0,Fanny and Alexander,7.0,4249240.0,1270924.0,1.0,Embassy
0,Zapped!,8.0,15556428.0,4477168.0,4.0,Embassy
0,The Soldier,8.0,2025087.0,2025087.0,2.0,Embassy
0,Fanny and Alexander,8.0,8619465.0,1200140.0,1.0,Embassy
0,The Ballad of Gregorio Cortez,8.0,78742.0,56632.0,0.0,Embassy
0,Zapped!,9.0,14511933.0,766623.0,0.0,Embassy
0,The Soldier,9.0,5817549.0,436654.0,0.0,Embassy
0,The Ballad of Gregorio Cortez,9.0,817390.0,205995.0,0.0,Embassy
0,Fanny and Alexander,9.0,16298456.0,1056276.0,1.0,Embassy
0,Deadly Force,9.0,244641.0,244641.0,0.0,Embassy
0,Eddie and the Cruisers,9.0,4746492.0,2935477.0,2.0,Embassy
0,The Bear,9.0,1542222.0,1542222.0,1.0,Embassy
0,Let's Spend the Night Together,2.0,7763886.0,3167588.0,3.0,Embassy
0,The Graduate,2.0,49418.0,49418.0,0.0,Embassy
0,Fanny and Alexander,6.0,187398.0,123214.0,0.0,Embassy
0,The Ballad of Gregorio Cortez,10.0,1912115.0,332181.0,0.0,Embassy
0,Fanny and Alexander,10.0,16489310.0,699310.0,0.0,Embassy
0,Eddie and the Cruisers,10.0,16534492.0,1528932.0,1.0,Embassy
0,The Bear,10.0,4837103.0,1027662.0,1.0,Embassy
0,The Ballad of Gregorio Cortez,11.0,2812341.0,148877.0,0.0,Embassy
0,Fanny and Alexander,11.0,18517882.0,409408.0,0.0,Embassy
0,Eddie and the Cruisers,11.0,4626162.0,161753.0,0.0,Embassy
0,The Ballad of Gregorio Cortez,12.0,1538289.0,31428.0,0.0,Embassy
0,Fanny and Alexander,12.0,19387728.0,142106.0,0.0,Embassy
0,Champions,4.0,92216.0,92216.0,0.0,Embassy
0,The Sure Thing,4.0,65345039.0,2560435.0,2.0,Embassy
0,The Sure Thing,3.0,50887952.0,14480706.0,14.0,Embassy
0,The Sure Thing,5.0,88412610.0,1049217.0,1.0,Embassy
0,Indigo,1.0,1190000.0,1190000.0,1.0,Embassy
