,Film,Month,Monthly_Cume_Gross,Monthly_Gross,Studio
0,Smokey and the Bandit,5,2637024,2637024,Universal
0,The Four Seasons,5,7020716,7020716,Universal
0,Bustin' Loose,5,23080335,14900000,Universal
0,On Golden Pond,5,312477125,5132026,Universal
0,Conan the Barbarian,5,66826197,30398173,Universal
0,Dead Men Don't Wear Plaid,5,19519067,12768796,Universal
0,Doctor Detroit,5,21512366,9348000,Universal
0,ET: The Extra-Terrestrial,5,1856935519,5168090,Universal
0,The Meaning of Life,5,41912479,1906924,Universal
0,La traviata,5,1885841,633070,Universal
0,Sixteen Candles,5,42952841,15759000,Universal
0,Firestarter,5,29802439,13116000,Universal
0,Mask,5,155288123,7870313,Universal
0,Gotcha,5,16566483,7891489,Universal
0,The Breakfast Club,5,37364975,1036305,Universal
0,Stick,5,6486589,2051969,Universal
0,Brewster's Millions,5,33673943,18964783,Universal
0,Fletch,5,10213183,10213183,Universal
0,Legend,5,11362995,2270330,Universal
0,The Money Pit,5,58247349,3986720,Universal
0,Sweet Liberty,5,22626025,10283499,Universal
0,The Secret of My Success,5,220780162,23808094,Universal
0,Biloxi Blues,5,114375601,4964318,Universal
0,Shakedown,5,10992408,6906343,Universal
0,Field of Dreams,5,85324506,28920594,Universal
0,The Dream Team,5,45463600,3758975,Universal
0,K-9,5,99425709,21584152,Universal
0,The Guardian,5,24299220,6326280,Universal
0,Bird on a Wire,5,56512450,35906050,Universal
0,Back to the Future Part III,5,27761250,27761250,Universal
0,Spartacus,5,2670819,1065566,Universal
0,A Kiss Before Dying,5,36156860,8451935,Universal
0,F/X2,5,35222273,15596742,Universal
0,Kindergarten Cop,5,88613063,168720,Universal
0,Backdraft,5,51219550,32088390,Universal
0,Beethoven,5,206269345,13303075,Universal
0,Far and Away,5,41413315,25789110,Universal
0,Dragon: The Bruce Lee Story,5,89091140,29067555,Universal
0,Schindler's List,5,366867562,4546755,Universal
0,Crooklyn,5,24151575,10509705,Universal
0,The Flintstones,5,44239595,44239595,Universal
0,The Cure,5,2384385,214835,Universal
0,Major Payne,5,100256895,1973930,Universal
0,Village of the Damned,5,14467415,3758005,Universal
0,Casper,5,25511615,25511615,Universal
0,Happy Gilmore,5,114872890,652725,Universal
0,Sgt. Bilko,5,144982495,2153975,Universal
0,The Quest,5,90400650,11369525,Universal
0,Fear,5,96173020,3622895,Universal
0,Flipper,5,30560715,14036320,Universal
0,Dragonheart,5,19862765,19862765,Universal
0,McHale's Navy,5,8549630,405100,Universal
0,Dante's Peak,5,333475350,1407825,Universal
0,Liar Liar,5,804220705,21688325,Universal
0,That Old Feeling,5,48401156,927803,Universal
0,The Lost World: Jurassic Park,5,259967073,126283512,Universal
0,Primary Colors,5,189949630,1977320,Universal
0,Black Dog,5,48561470,11867340,Universal
0,Mercury Rising,5,156596965,3584980,Universal
0,Fear and Loathing in Las Vegas,5,13779510,8279020,Universal
0,The Mummy,5,366632720,120104600,Universal
0,October Sky,5,122640275,1376105,Universal
0,EDtv,5,88799090,637720,Universal
0,Patch Adams,5,404801006,172203,Universal
0,Life,5,226229202,11912894,Universal
0,Notting Hill,5,34406175,34406175,Universal
0,Erin Brockovich,5,478062320,7916345,Universal
0,Beyond the Mat,5,4055079,55045,Universal
0,U-571,5,247017765,27749885,Universal
0,The Flintstones in Viva Roc…,5,103822780,18344285,Universal
0,The Skulls,5,138024850,2121105,Universal
0,Screwed,5,17589175,6897975,Universal
0,The Mummy Returns,5,535473400,173427505,Universal
0,Josie and the Pussycats,5,42346875,927930,Universal
0,The Scorpion King,5,422209810,23942340,Universal
0,A Beautiful Mind,5,681600499,1160065,Universal
