,Film,Month,Monthly_Cume_Gross,Monthly_Gross,Studio
0,Re-Animator,10,2277322,1552381,Empire Pictures
0,Place Vendome,10,1008008,75315,Empire Pictures
0,Intimacy,10,181692,122252,Empire Pictures
0,The Children of the Century,10,51369,11018,Empire Pictures
0,Balzac and the Little Chine…,10,2137362,97019,Empire Pictures
0,Caterina in the Big City,10,585002,9761,Empire Pictures
0,Hounddog,10,399214,74100,Empire Pictures
0,Troll,1,3414040,3414040,Empire Pictures
0,Place Vendome,1,3169445,31421,Empire Pictures
0,Season's Beatings,1,822061,22366,Empire Pictures
0,Intimacy,1,1007017,26539,Empire Pictures
0,AKA,1,75487,10494,Empire Pictures
0,Yves St. Laurent,1,87062,49253,Empire Pictures
0,Almost Peaceful,1,91200,1092,Empire Pictures
0,Monsieur N.,1,9707,5764,Empire Pictures
0,Balzac and the Little Chine…,1,665260,1244,Empire Pictures
0,Blonde and Blonder,1,62426,35406,Empire Pictures
0,Place Vendome,8,157835,102314,Empire Pictures
0,11-Sep,8,73090,6299,Empire Pictures
0,The Twilight Samurai,8,1462712,33160,Empire Pictures
0,Caterina in the Big City,8,738973,34708,Empire Pictures
0,Balzac and the Little Chine…,8,468956,155742,Empire Pictures
0,"War Eagle, Arkansas",8,353936,24321,Empire Pictures
0,Place Vendome,9,392880,46276,Empire Pictures
0,The Children of the Century,9,44904,16173,Empire Pictures
0,11-Sep,9,362253,57982,Empire Pictures
0,Almost Peaceful,9,66920,6076,Empire Pictures
0,The Twilight Samurai,9,1575586,15810,Empire Pictures
0,Caterina in the Big City,9,1366687,32163,Empire Pictures
0,Balzac and the Little Chine…,9,1870042,283654,Empire Pictures
0,Hounddog,9,50844,31585,Empire Pictures
0,Place Vendome,11,1349996,58290,Empire Pictures
0,Season's Beatings,11,74654,37151,Empire Pictures
0,Intimacy,11,1298997,225966,Empire Pictures
0,The Children of the Century,11,69217,7943,Empire Pictures
0,Almost Peaceful,11,228623,8271,Empire Pictures
0,Balzac and the Little Chine…,11,2422895,63408,Empire Pictures
0,Caterina in the Big City,11,295466,1814,Empire Pictures
0,Hounddog,11,471341,15789,Empire Pictures
0,Place Vendome,12,1446492,38041,Empire Pictures
0,Season's Beatings,12,600058,97031,Empire Pictures
0,Intimacy,12,450425,17818,Empire Pictures
0,AKA,12,11842,11842,Empire Pictures
0,Almost Peaceful,12,425441,11314,Empire Pictures
0,Balzac and the Little Chine…,12,1292106,21560,Empire Pictures
0,Hounddog,12,260163,9312,Empire Pictures
0,Place Vendome,2,824362,20402,Empire Pictures
0,Intimacy,2,1594523,29378,Empire Pictures
0,Season's Beatings,2,330418,104,Empire Pictures
0,11-Sep,2,126350,1551,Empire Pictures
0,AKA,2,29136,2070,Empire Pictures
0,Yves St. Laurent,2,80941,791,Empire Pictures
0,Almost Peaceful,2,204034,13216,Empire Pictures
0,Blonde and Blonder,2,38848,3442,Empire Pictures
0,Place Vendome,6,884823,2971,Empire Pictures
0,The Twilight Samurai,6,1393637,145801,Empire Pictures
0,Caterina in the Big City,6,224042,95323,Empire Pictures
0,Monsieur N.,6,37757,1345,Empire Pictures
0,"War Eagle, Arkansas",6,104333,44517,Empire Pictures
0,Intimacy,3,560296,3667,Empire Pictures
0,AKA,3,39537,2913,Empire Pictures
0,Monsieur N.,3,51727,10290,Empire Pictures
0,Almost Peaceful,3,210788,1501,Empire Pictures
0,Intimacy,4,561954,1658,Empire Pictures
0,Yves St. Laurent,4,269562,5139,Empire Pictures
0,AKA,4,88083,2378,Empire Pictures
0,The Promised Life,4,57860,5441,Empire Pictures
0,The Twilight Samurai,4,57079,44985,Empire Pictures
0,Monsieur N.,4,113503,16654,Empire Pictures
0,The Twilight Samurai,5,599710,193393,Empire Pictures
0,AKA,5,48079,961,Empire Pictures
0,The Promised Life,5,77136,2067,Empire Pictures
0,Yves St. Laurent,5,97092,5483,Empire Pictures
0,Monsieur N.,5,36412,645,Empire Pictures
0,The Twilight Samurai,7,2173921,78368,Empire Pictures
0,Caterina in the Big City,7,854642,121697,Empire Pictures
0,Balzac and the Little Chine…,7,29192,29192,Empire Pictures
0,"War Eagle, Arkansas",7,328603,54832,Empire Pictures
