,Film,Month,Monthly_Cume_Gross,Monthly_Gross,Monthly_Gross_Mil,Studio
0,Star Wars Ep. IV: A New Hope,6,40333282,14549137,14,20th Century Fox
0,Alien,6,94713427,27645662,27,20th Century Fox
0,Star Wars Ep. V: The Empire…,6,165827280,77254233,77,20th Century Fox
0,History of the World: Part I,6,28177195,19079788,19,20th Century Fox
0,The Cannonball Run,6,43580608,24723383,24,20th Century Fox
0,Visiting Hours,6,33420396,5842072,5,20th Century Fox
0,Porky's,6,375107139,11123895,11,20th Century Fox
0,Author! Author!,6,9588560,6138318,6,20th Century Fox
0,Megaforce,6,3492966,3492966,3,20th Century Fox
0,The Man From Snowy River,6,61460326,376112,0,20th Century Fox
0,Star Wars Ep. VI: Return of…,6,475741499,92985339,92,20th Century Fox
0,Porky's II: The Next Day,6,10817121,10817121,10,20th Century Fox
0,Romancing the Stone,6,314055344,11820892,11,20th Century Fox
0,Rhinestone,6,21623583,13622441,13,20th Century Fox
0,Bachelor Party,6,7554822,7554822,7,20th Century Fox
0,The Gods Must Be Crazy,6,58913032,2054809,2,20th Century Fox
0,Prizzi's Honor,6,33046433,15111982,15,20th Century Fox
0,Cocoon,6,38363179,25248776,25,20th Century Fox
0,SpaceCamp,6,4161955,4161955,4,20th Century Fox
0,Predator,6,84991007,37775160,37,20th Century Fox
0,Big,6,118970495,46439069,46,20th Century Fox
0,Die Hard 2,6,13811679,13811679,13,20th Century Fox
0,Only the Lonely,6,32764509,5021595,5,20th Century Fox
0,Home Alone,6,276763569,1362604,1,20th Century Fox
0,Sleeping with the Enemy,6,98084141,904213,0,20th Century Fox
0,Dying Young,6,35320090,21371292,21,20th Century Fox
0,Alien³,6,193980797,13733844,13,20th Century Fox
0,Unlawful Entry,6,15002996,15002996,15,20th Century Fox
0,Hot Shots! Part Deux,6,94294874,10943954,10,20th Century Fox
0,Once Upon a Forest,6,3527292,3527292,3,20th Century Fox
0,Sugar Hill,6,18206892,21324,0,20th Century Fox
0,Speed,6,127740521,61972280,61,20th Century Fox
0,Kiss of Death,6,29704954,203379,0,20th Century Fox
0,French Kiss,6,172167947,6630444,6,20th Century Fox
0,Die Hard: With a Vengeance,6,399258517,38389089,38,20th Century Fox
0,Mighty Morphin Power Ranger…,6,19534264,19534264,19,20th Century Fox
0,The Truth About Cats & Dogs,6,96522344,2553473,2,20th Century Fox
0,Volcano,6,183983476,2801347,2,20th Century Fox
0,Speed II: Cruise Control,6,97419058,39595384,39,20th Century Fox
0,Hope Floats,6,170799758,30237475,30,20th Century Fox
0,The Object of my Affection,6,86544218,787967,0,20th Century Fox
0,Bulworth,6,97595875,6075276,6,20th Century Fox
0,Cousin Bette,6,775626,440817,0,20th Century Fox
0,The X Files: Fight the Future,6,102405135,60800717,60,20th Century Fox
0,Doctor Dolittle,6,45125665,45125665,45,20th Century Fox
