,Film,Month,Monthly_Cume_Gross,Monthly_Gross,Studio
0,Witchboard,3,8761011,4915348,Cinema Guild
0,Fear and Trembling,3,196634,16994,Cinema Guild
0,Gilles' Wife,3,23782,2599,Cinema Guild
0,The Unforeseen,3,69012,29796,Cinema Guild
0,Alexandra,3,145003,17792,Cinema Guild
0,The Betrayal,3,134507,8528,Cinema Guild
0,Beeswax,3,46590,181,Cinema Guild
0,The Beaches of Agn̬s,3,236587,561,Cinema Guild
0,35 Shots of Rum,3,657103,5157,Cinema Guild
0,Sweetgrass,3,229149,40827,Cinema Guild
0,The Strange Case of Angelica,3,162036,5156,Cinema Guild
0,Putty Hill,3,130734,29556,Cinema Guild
0,Leviathan,3,8900,8900,Cinema Guild
0,Actress,3,19365,2201,Cinema Guild
0,Jauja,3,42245,28728,Cinema Guild
0,The Death of Louis XIV,3,12329,12329,Cinema Guild
0,The Bank,11,49381,4663,Cinema Guild
0,The Seagull's Laughter,11,72527,714,Cinema Guild
0,Fear and Trembling,11,17492,7065,Cinema Guild
0,A Tout de Suite,11,247899,3951,Cinema Guild
0,Gilles' Wife,11,4508,4508,Cinema Guild
0,La Moustache,11,717996,14455,Cinema Guild
0,Primo Levi's Journey,11,22026,2668,Cinema Guild
0,Summer '04,11,20475,3959,Cinema Guild
0,The Betrayal,11,19558,11464,Cinema Guild
0,Alexandra,11,124085,54,Cinema Guild
0,Beeswax,11,77587,604,Cinema Guild
0,35 Shots of Rum,11,390010,23245,Cinema Guild
0,The Beaches of Agn̬s,11,853362,12275,Cinema Guild
0,Around a Small Mountain,11,61094,2166,Cinema Guild
0,Sweetgrass,11,206728,1620,Cinema Guild
0,The Bank,1,236991,10668,Cinema Guild
0,Fear and Trembling,1,52686,25258,Cinema Guild
0,Gilles' Wife,1,18273,2977,Cinema Guild
0,The Betrayal,1,60108,5340,Cinema Guild
0,35 Shots of Rum,1,568199,21582,Cinema Guild
0,The Beaches of Agn̬s,1,684299,5928,Cinema Guild
0,Sweetgrass,1,92418,20599,Cinema Guild
0,Around a Small Mountain,1,32584,1002,Cinema Guild
0,The Strange Case of Angelica,1,85907,16296,Cinema Guild
0,Actress,1,10777,2673,Cinema Guild
0,Stray Dogs,1,10433,831,Cinema Guild
0,The Bank,2,84864,714,Cinema Guild
0,The Inheritance,2,67820,562,Cinema Guild
0,Fear and Trembling,2,99371,22458,Cinema Guild
0,The Unforeseen,2,3937,3937,Cinema Guild
