,Film,Month,Monthly_Cume_Gross,Monthly_Gross,Monthly_Gross_Mil,Studio
0,Heavy Metal,8,41997360,14808101,14,Sony Pictures
0,Things Are Tough All Over,8,58169548,18167373,18,Sony Pictures
0,Annie,8,196087284,8011867,8,Sony Pictures
0,Krull,8,28913498,7811810,7,Sony Pictures
0,The Karate Kid,8,1005880923,28410499,28,Sony Pictures
0,Ghostbusters,8,1606574923,60722563,60,Sony Pictures
0,Sheena,8,4159860,4159860,4,Sony Pictures
0,Fright Night,8,86914994,22395406,22,Sony Pictures
0,St. Elmo's Fire,8,158391629,6398612,6,Sony Pictures
0,Silverado,8,122443860,11152865,11,Sony Pictures
0,The Bride,8,2667974,2667974,2,Sony Pictures
0,"The Karate Kid, Part II",8,450253987,26778775,26,Sony Pictures
0,A Fine Mess,8,3845615,3845615,3,Sony Pictures
0,Labyrinth,8,12614225,268100,0,Sony Pictures
0,Stand by Me,8,21133751,12955266,12,Sony Pictures
0,About Last Night...,8,56051328,5223448,5,Sony Pictures
0,Armed and Dangerous,8,16947829,10416512,10,Sony Pictures
0,La Bamba,8,128207231,21211755,21,Sony Pictures
0,The Big Easy,8,4899119,4300396,4,Sony Pictures
0,Lock Up,8,8641204,8641204,8,Sony Pictures
0,Casualties of War,8,19531878,11853448,11,Sony Pictures
0,The Freshman,8,27217590,8454870,8,Sony Pictures
0,Air America,8,31531356,19311006,19,Sony Pictures
0,Flatliners,8,119295310,41142023,41,Sony Pictures
0,Boyz n the Hood,8,130927438,11027403,11,Sony Pictures
0,Terminator 2: Judgment Day,8,1051873425,45774121,45,Sony Pictures
0,Double Impact,8,73574254,24114567,24,Sony Pictures
0,City Slickers,8,112909569,2232417,2,Sony Pictures
0,A League of Their Own,8,369376365,19349700,19,Sony Pictures
0,Mo' Money,8,66093276,8571507,8,Sony Pictures
0,Single White Female,8,70232954,30810084,30,Sony Pictures
0,Basic Instinct,8,115526729,1004400,1,Sony Pictures
0,Honeymoon in Vegas,8,10267844,10267844,10,Sony Pictures
0,In the Line of Fire,8,351732354,23130059,23,Sony Pictures
0,Sleepless in Seattle,8,107135922,3801438,3,Sony Pictures
0,Needful Things,8,7113303,7113303,7,Sony Pictures
0,It Could Happen To You,8,19379561,7423688,7,Sony Pictures
0,First Knight,8,73097700,1583890,1,Sony Pictures
0,Forget Paris,8,66216233,362051,0,Sony Pictures
0,The Net,8,143654338,27631427,27,Sony Pictures
0,Bad Boys,8,261728296,590705,0,Sony Pictures
0,Johnny Mnemonic,8,37890403,220714,0,Sony Pictures
0,The Baby-Sitters Club,8,12989821,7738698,7,Sony Pictures
0,Beyond Rangoon,8,2790932,2790932,2,Sony Pictures
0,Desperado,8,11030663,11030663,11,Sony Pictures
0,Multiplicity,8,58386150,4250940,4,Sony Pictures
0,Striptease,8,31295417,140296,0,Sony Pictures
0,The Cable Guy,8,237723711,2728913,2,Sony Pictures
0,Matilda,8,123533501,30744194,30,Sony Pictures
0,The Craft,8,73716800,320886,0,Sony Pictures
0,The Fan,8,40543936,17100398,17,Sony Pictures
0,Alaska,8,24067000,9297418,9,Sony Pictures
0,Solo,8,7578044,4472122,4,Sony Pictures
