,Film,Month,Monthly_Cume_Gross,Monthly_Gross,Monthly_Gross_Mil,Studio
0,Valley Girl,4,2583211,2583211,2,Atlantic
0,Nineteen Eighty-Four,4,8271290,304321,0,Atlantic
0,Valley Girl,5,28271733,7042184,7,Atlantic
0,Alphabet City,5,11582515,4522077,4,Atlantic
0,Valley Girl,6,49119174,3427042,3,Atlantic
0,Alphabet City,6,17578154,1981588,1,Atlantic
0,Picnic at Hanging Rock,6,49582,49582,0,Atlantic
0,Valley Girl,7,71680672,1996718,1,Atlantic
0,Valley Girl,8,62559323,984554,0,Atlantic
0,Teen Wolf,8,24676504,14993965,14,Atlantic
0,Extremities,8,11075485,7191451,7,Atlantic
0,Valley Girl,9,81936314,518771,0,Atlantic
0,Teen Wolf,9,96393360,12736496,12,Atlantic
0,The Smurfs and the Magic Flute,10,582737,194714,0,Atlantic
0,Valley Girl,10,33266824,142522,0,Atlantic
0,Teen Wolf,10,122588879,3982912,3,Atlantic
0,The Smurfs and the Magic Flute,11,5952140,3484529,3,Atlantic
0,Boarding School,11,60006,60006,0,Atlantic
0,Night of the Comet,11,26763865,12130478,12,Atlantic
0,Teen Wolf,11,163224969,1323253,1,Atlantic
0,Starchaser: The Legend of Orin,11,5539678,3240788,3,Atlantic
0,Teen Wolf Too,11,3610918,3610918,3,Atlantic
0,The Smurfs and the Magic Flute,12,26158555,5545745,5,Atlantic
0,Night of the Comet,12,55918183,2185572,2,Atlantic
0,Nineteen Eighty-Four,1,444032,306020,0,Atlantic
0,"Hey There, It's Yogi Bear",1,2683843,1171736,1,Atlantic
0,The Adventures of the Ameri…,1,1663841,696116,0,Atlantic
0,Heathcliff: The Movie,1,3087792,1302294,1,Atlantic
0,The Adventures of Mark Twain,1,1267472,529036,0,Atlantic
0,Nineteen Eighty-Four,2,4725058,1626183,1,Atlantic
0,"Hey There, It's Yogi Bear",2,4773816,655823,0,Atlantic
0,The Adventures of the Ameri…,2,2642122,292294,0,Atlantic
0,Heathcliff: The Movie,2,5193711,665888,0,Atlantic
0,The Adventures of Mark Twain,2,1771644,98183,0,Atlantic
0,Nineteen Eighty-Four,3,29517046,6034766,6,Atlantic
