,Film,Month,Monthly_Cume_Gross,Monthly_Gross,Monthly_Gross_Mil,Studio
0,The Last American Virgin,9,8608015,1450393,1,Cannon
0,Hercules,9,25246401,4645255,4,Cannon
0,Revenge of the Ninja,9,16823822,7186373,7,Cannon
0,Bolero,9,16074569,3401991,3,Cannon
0,Exterminator 2,9,5763544,2156847,2,Cannon
0,Ninja III: The Domination,9,6022433,3765306,3,Cannon
0,American Ninja,9,13097983,3181039,3,Cannon
0,Invasion U.S.A.,9,9087595,9087595,9,Cannon
0,Kickboxer,9,13858528,8571998,8,Cannon
0,The Last American Virgin,10,5302583,541220,0,Cannon
0,Revenge of the Ninja,10,18729522,2539843,2,Cannon
0,The Wicked Lady,10,508576,508576,0,Cannon
0,Exterminator 2,10,5634735,1196782,1,Cannon
0,Ninja III: The Domination,10,13539813,3172971,3,Cannon
0,Invasion U.S.A.,10,62617926,8221911,8,Cannon
0,10 to Midnight,3,16410809,6665087,6,Cannon
0,Over the Brooklyn Bridge,3,824582,511632,0,Cannon
0,Sahara,3,720766,720766,0,Cannon
0,Missing in Action 2: The Be…,3,33383971,10544514,10,Cannon
0,10 to Midnight,4,6969123,304036,0,Cannon
0,The Company of Wolves,4,6957660,4081776,4,Cannon
0,Murphy's Law,4,11666286,7219872,7,Cannon
0,Bloodsport,4,4532884,2351189,2,Cannon
0,Cyborg,4,10593322,6515134,6,Cannon
0,Hercules,8,4575136,4575136,4,Cannon
0,Young Warriors,8,120806,120806,0,Cannon
0,Bolero,8,5211735,5211735,5,Cannon
0,American Ninja,8,3972657,3972657,3,Cannon
0,Masters of the Universe,8,18786894,11545938,11,Cannon
0,Breakin',5,64506718,23898358,23,Cannon
0,Making the Grade,5,6177370,3848398,3,Cannon
0,Rappin',5,2102330,2102330,2,Cannon
0,Dangerously Close,5,1552505,1552505,1,Cannon
0,Cobra,5,48414331,29480972,29,Cannon
0,Salsa,5,8965829,5652421,5,Cannon
0,Breakin',6,153774693,9689187,9,Cannon
0,Cobra,6,120561351,14044883,14,Cannon
0,Invaders from Mars,6,2773981,2773981,2,Cannon
0,Breakin',7,105770448,2244915,2,Cannon
0,Missing in Action,11,43223860,18814245,18,Cannon
0,Death Wish 3,11,61962459,15634075,15,Cannon
0,King Solomon's Mines,11,17455413,10858244,10,Cannon
0,Firewalker,11,15032953,9291035,9,Cannon
0,Missing in Action,12,86583162,3595962,3,Cannon
0,Breakin' 2: Electric Boogaloo,12,12949389,7879093,7,Cannon
0,Death Wish 3,12,15929638,295563,0,Cannon
0,Runaway Train,12,568690,236683,0,Cannon
0,Fool For Love,12,767014,348955,0,Cannon
0,King Solomon's Mines,12,54775784,3674807,3,Cannon
0,Breakin' 2: Electric Boogaloo,1,51360188,6123490,6,Cannon
0,Fool For Love,1,3145757,447415,0,Cannon
0,Runaway Train,1,19706368,7126975,7,Cannon
0,King Solomon's Mines,1,14843240,310189,0,Cannon
0,Braddock: Missing in Action…,1,2889754,2889754,2,Cannon
0,The Delta Force,2,30498607,13235247,13,Cannon
