,Film,Month,Monthly_Cume_Gross,Monthly_Gross,Monthly_Gross_Mil,Studio
0,The Golden Seal,8,1649939,1094350,1,Samuel Goldwyn Films
0,Desert Hearts,8,4260058,153522,0,Samuel Goldwyn Films
0,Three Men and a Cradle,8,3124708,121370,0,Samuel Goldwyn Films
0,The Girl in the Picture,8,127496,29182,0,Samuel Goldwyn Films
0,Raising Victor Vargas,8,4135948,36032,0,Samuel Goldwyn Films
0,I Capture the Castle,8,4442023,585630,0,Samuel Goldwyn Films
0,Passionada,8,895230,393006,0,Samuel Goldwyn Films
0,Lila Says,8,442359,13538,0,Samuel Goldwyn Films
0,Walk on Water,8,10731631,95720,0,Samuel Goldwyn Films
0,Saint Ralph,8,2512052,404482,0,Samuel Goldwyn Films
0,Pretty Persuasion,8,408408,190773,0,Samuel Goldwyn Films
0,Goya's Ghosts,8,3443921,435849,0,Samuel Goldwyn Films
0,2 Days in Paris,8,4082850,2094665,2,Samuel Goldwyn Films
0,Fugitive Pieces,8,1265340,9567,0,Samuel Goldwyn Films
0,Priceless,8,8617159,42611,0,Samuel Goldwyn Films
0,Roman de Gare,8,8953422,118048,0,Samuel Goldwyn Films
0,Elegy,8,3196500,1859454,1,Samuel Goldwyn Films
0,Cold Souls,8,1193291,511556,0,Samuel Goldwyn Films
0,Blood: The Last Vampire,8,256682,1215,0,Samuel Goldwyn Films
0,Harry Brown,8,1818681,7260,0,Samuel Goldwyn Films
0,Mao's Last Dancer,8,2232132,760010,0,Samuel Goldwyn Films
0,The Whistleblower,8,1494723,666525,0,Samuel Goldwyn Films
0,The Double Hour,8,4506746,47404,0,Samuel Goldwyn Films
0,Robot and Frank,8,2007983,1508429,1,Samuel Goldwyn Films
0,The Last of Robin Hood,8,43673,43673,0,Samuel Goldwyn Films
0,The Intervention,8,32919,32919,0,Samuel Goldwyn Films
0,Gook,8,168392,134358,0,Samuel Goldwyn Films
0,Lonely Hearts,9,915177,313791,0,Samuel Goldwyn Films
0,The Golden Seal,9,10238442,1353558,1,Samuel Goldwyn Films
0,The Man from Elysian Fields,9,69363,69363,0,Samuel Goldwyn Films
0,I Capture the Castle,9,4590134,107622,0,Samuel Goldwyn Films
0,Passionada,9,2010467,143900,0,Samuel Goldwyn Films
0,Mambo Italiano (US Release),9,8844516,4772012,4,Samuel Goldwyn Films
0,Lila Says,9,473283,7380,0,Samuel Goldwyn Films
0,Walk on Water,9,2712736,4826,0,Samuel Goldwyn Films
0,Pretty Persuasion,9,1348154,101729,0,Samuel Goldwyn Films
0,Saint Ralph,9,3810179,68730,0,Samuel Goldwyn Films
0,MirrorMask,9,187252,187252,0,Samuel Goldwyn Films
0,Goya's Ghosts,9,3743781,118274,0,Samuel Goldwyn Films
0,2 Days in Paris,9,13498619,1821481,1,Samuel Goldwyn Films
0,Elegy,9,11831346,1449931,1,Samuel Goldwyn Films
0,Roman de Gare,9,3696794,23140,0,Samuel Goldwyn Films
0,Fireproof,9,8422707,8422707,8,Samuel Goldwyn Films
0,Cold Souls,9,2977561,319096,0,Samuel Goldwyn Films
0,Mao's Last Dancer,9,10159378,1818823,1,Samuel Goldwyn Films
0,Legendary,9,362962,200393,0,Samuel Goldwyn Films
0,The Whistleblower,9,4824861,396032,0,Samuel Goldwyn Films
0,A Good Old Fashioned Orgy,9,154604,154604,0,Samuel Goldwyn Films
0,Robot and Frank,9,10974511,1594655,1,Samuel Goldwyn Films
0,Diana Vreeland: The Eye Has…,9,348475,245631,0,Samuel Goldwyn Films
0,Renoir,9,2230455,916,0,Samuel Goldwyn Films
0,90 Minutes in Heaven,9,11557230,4625674,4,Samuel Goldwyn Films
0,A Brilliant Young Mind,9,260027,124049,0,Samuel Goldwyn Films
0,Gook,9,1169890,113986,0,Samuel Goldwyn Films
0,The Kingâs Choice,9,45018,31950,0,Samuel Goldwyn Films
0,The Golden Seal,10,11706100,720321,0,Samuel Goldwyn Films
0,Lonely Hearts,10,1729590,176364,0,Samuel Goldwyn Films
0,Mystic Pizza,10,4927121,3340769,3,Samuel Goldwyn Films
0,Better than Sex,10,29135,29135,0,Samuel Goldwyn Films
0,The Man from Elysian Fields,10,1784911,605061,0,Samuel Goldwyn Films
0,Mambo Italiano (US Release),10,28835135,1294606,1,Samuel Goldwyn Films
0,MirrorMask,10,2026713,484983,0,Samuel Goldwyn Films
0,Pretty Persuasion,10,1212956,13186,0,Samuel Goldwyn Films
0,Saint Ralph,10,3165814,15335,0,Samuel Goldwyn Films
0,Goya's Ghosts,10,3906189,26098,0,Samuel Goldwyn Films
0,2 Days in Paris,10,17041765,429881,0,Samuel Goldwyn Films
0,O Jerusalem,10,200547,140010,0,Samuel Goldwyn Films
0,Fireproof,10,104382831,18319397,18,Samuel Goldwyn Films
0,Elegy,10,17541108,264501,0,Samuel Goldwyn Films
0,Cold Souls,10,4411300,70801,0,Samuel Goldwyn Films
0,Free Style,10,281632,141108,0,Samuel Goldwyn Films
0,Mao's Last Dancer,10,20187891,1296785,1,Samuel Goldwyn Films
0,Welcome to the Rileys,10,59929,59929,0,Samuel Goldwyn Films
0,The Whistleblower,10,2194937,48296,0,Samuel Goldwyn Films
0,Diana Vreeland: The Eye Has…,10,2143263,444368,0,Samuel Goldwyn Films
0,Robot and Frank,10,12935019,157789,0,Samuel Goldwyn Films
0,The First Time,10,17061,17061,0,Samuel Goldwyn Films
0,The Song,10,999406,21943,0,Samuel Goldwyn Films
0,Rudderless,10,49403,49403,0,Samuel Goldwyn Films
0,90 Minutes in Heaven,10,14346156,190468,0,Samuel Goldwyn Films
0,Green is Gold,10,455,455,0,Samuel Goldwyn Films
0,Gook,10,250130,1786,0,Samuel Goldwyn Films
0,The Kingâs Choice,10,340035,69923,0,Samuel Goldwyn Films
0,Godâs Own Country,10,40234,34093,0,Samuel Goldwyn Films
0,Experience Preferred,11,406200,166158,0,Samuel Goldwyn Films
0,The Golden Seal,11,17368627,2838681,2,Samuel Goldwyn Films
0,Lonely Hearts,11,2238206,115375,0,Samuel Goldwyn Films
0,Mystic Pizza,11,5207851,1867082,1,Samuel Goldwyn Films
0,Better than Sex,11,352891,54997,0,Samuel Goldwyn Films
0,The Man from Elysian Fields,11,5101945,525154,0,Samuel Goldwyn Films
0,Mambo Italiano (US Release),11,24713732,161247,0,Samuel Goldwyn Films
0,MirrorMask,11,3269540,179046,0,Samuel Goldwyn Films
0,Goya's Ghosts,11,3979563,14526,0,Samuel Goldwyn Films
0,2 Days in Paris,11,22079204,87967,0,Samuel Goldwyn Films
0,O Jerusalem,11,1105781,90233,0,Samuel Goldwyn Films
0,Southland Tales,11,695852,244252,0,Samuel Goldwyn Films
0,Elegy,11,3577210,3324,0,Samuel Goldwyn Films
0,Fireproof,11,123849959,5685128,5,Samuel Goldwyn Films
0,Cold Souls,11,905209,3756,0,Samuel Goldwyn Films
0,Welcome to the Rileys,11,456539,80737,0,Samuel Goldwyn Films
0,Mao's Last Dancer,11,18843703,335711,0,Samuel Goldwyn Films
0,Robot and Frank,11,9864951,35322,0,Samuel Goldwyn Films
0,Diana Vreeland: The Eye Has…,11,4300671,230982,0,Samuel Goldwyn Films
0,Kirk Cameron's Saving Chris…,11,5994082,2521125,2,Samuel Goldwyn Films
0,Experience Preferred,12,1487275,324265,0,Samuel Goldwyn Films
