,Film,Month,Monthly_Cume_Gross,Monthly_Gross,Monthly_Gross_Mil,Studio
0,Come Back to the Five and D…,11,274896,141906,0,Cinecom
0,The Brother from Another Pl…,11,2636676,705071,0,Cinecom
0,Stop Making Sense,11,17589256,718787,0,Cinecom
0,Stop Making Sense,10,10191608,146421,0,Cinecom
0,The Brother from Another Pl…,10,96982,96982,0,Cinecom
0,The Brother from Another Pl…,12,4303167,527011,0,Cinecom
0,Stop Making Sense,12,9901898,669953,0,Cinecom
0,The Brother from Another Pl…,1,7086602,662088,0,Cinecom
0,Stop Making Sense,1,7835364,730877,0,Cinecom
0,The Brother from Another Pl…,2,9000238,402205,0,Cinecom
0,Stop Making Sense,2,10701602,628645,0,Cinecom
0,The Brother from Another Pl…,3,13109750,367040,0,Cinecom
0,Stop Making Sense,3,16536797,697556,0,Cinecom
0,The Brother from Another Pl…,4,11468015,172955,0,Cinecom
0,Stop Making Sense,4,15250584,362954,0,Cinecom
0,The Brother from Another Pl…,5,15274487,207102,0,Cinecom
0,Stop Making Sense,5,25797622,415751,0,Cinecom
0,A Room with a View,5,3062536,929401,0,Cinecom
0,The Brother from Another Pl…,6,6391114,45891,0,Cinecom
0,Stop Making Sense,6,22758745,224378,0,Cinecom
0,Stop Making Sense,7,18642147,184722,0,Cinecom
0,The Brother from Another Pl…,7,9755043,40939,0,Cinecom
0,Stop Making Sense,8,24316697,159309,0,Cinecom
0,A Room with a View,8,18056716,926397,0,Cinecom
0,Stop Making Sense,9,14870811,47612,0,Cinecom
