,Film,Month,Monthly_Cume_Gross,Monthly_Gross,Monthly_Gross_Mil,Studio
0,Where the Boys Are '84,4,32121097,10233470,10,Sony/TriStar
0,Alamo Bay,4,375009,268756,0,Sony/TriStar
0,Places in the Heart,4,103928649,750884,0,Sony/TriStar
0,Blind Date,4,91917148,19310016,19,Sony/TriStar
0,The Seventh Sign,4,15130321,9564614,9,Sony/TriStar
0,Q & A,4,3747865,3747865,3,Sony/TriStar
0,Thunderheart,4,16247030,10416875,10,Sony/TriStar
0,Philadelphia,4,216351414,3488186,3,Sony/TriStar
0,Stepmom,4,272496463,465163,0,Sony/TriStar
0,The Natural,5,44759422,22913081,22,Sony/TriStar
0,Private Resort,5,220083,220083,0,Sony/TriStar
0,Rambo: First Blood Part II,5,99089216,53150922,53,Sony/TriStar
0,Short Circuit,5,60093527,23161838,23,Sony/TriStar
0,Blind Date,5,137038489,8171394,8,Sony/TriStar
0,Rambo III,5,24634391,20172456,20,Sony/TriStar
0,Q & A,5,14943702,4760196,4,Sony/TriStar
0,Philadelphia,5,226592459,2035006,2,Sony/TriStar
0,The Second Jungle Book: Mow…,5,458467,268449,0,Sony/TriStar
0,The Natural,6,170510967,16645826,16,Sony/TriStar
0,Rambo: First Blood Part II,6,378248853,51727039,51,Sony/TriStar
0,Lifeforce,6,15445157,9245331,9,Sony/TriStar
0,Short Circuit,6,58768868,7853563,7,Sony/TriStar
0,Rambo III,6,76514939,16663948,16,Sony/TriStar
0,Red Heat,6,32232316,20288175,20,Sony/TriStar
0,Philadelphia,6,76366090,316011,0,Sony/TriStar
0,The Second Jungle Book: Mow…,6,863828,110010,0,Sony/TriStar
0,The Lords of Dogtown,6,28679622,10920195,10,Sony/TriStar
0,The Natural,7,174421715,5605093,5,Sony/TriStar
0,The Muppets Take Manhattan,7,41187740,18166924,18,Sony/TriStar
0,Meatballs II,7,3407096,3407096,3,Sony/TriStar
0,Lifeforce,7,33322311,2289904,2,Sony/TriStar
0,Rambo: First Blood Part II,7,516215532,24215739,24,Sony/TriStar
0,The Legend of Billie Jean,7,4782884,2926000,2,Sony/TriStar
0,Short Circuit 2,7,7033067,5776134,5,Sony/TriStar
0,Meatballs II,8,5003494,1596398,1,Sony/TriStar
0,The Natural,8,234223223,2262759,2,Sony/TriStar
0,The Muppets Take Manhattan,8,115878151,6852179,6,Sony/TriStar
0,Flashpoint,8,2310514,2310514,2,Sony/TriStar
0,The Legend of Billie Jean,8,3036000,110000,0,Sony/TriStar
0,Rambo: First Blood Part II,8,714163613,9890619,9,Sony/TriStar
0,Real Genius,8,31247145,9352680,9,Sony/TriStar
0,Volunteers,8,33656305,14978443,14,Sony/TriStar
0,Nothing in Common,8,71852193,21571027,21,Sony/TriStar
0,Short Circuit,8,80774800,754701,0,Sony/TriStar
0,The Blob,8,3839920,3839920,3,Sony/TriStar
0,The Natural,9,47678379,251620,0,Sony/TriStar
0,Flashpoint,9,3457833,1147319,1,Sony/TriStar
0,The Muppets Take Manhattan,9,25331703,312600,0,Sony/TriStar
0,The Evil That Men Do,9,15364486,9457891,9,Sony/TriStar
0,Places in the Heart,9,1147064,739956,0,Sony/TriStar
0,Rambo: First Blood Part II,9,593092711,3475442,3,Sony/TriStar
0,Volunteers,9,72957005,4254693,4,Sony/TriStar
0,Real Genius,9,47806921,2282182,2,Sony/TriStar
0,Nothing in Common,9,80414567,5740773,5,Sony/TriStar
0,The Principal,9,16192192,10333482,10,Sony/TriStar
0,Wind,9,2873332,2873332,2,Sony/TriStar
0,Magic in the Water,9,4332679,2097109,2,Sony/TriStar
0,Oliver Twist,9,1396085,1303608,1,Sony/TriStar
0,The Evil That Men Do,10,24219272,3251478,3,Sony/TriStar
0,Places in the Heart,10,47266128,16406684,16,Sony/TriStar
0,Songwriter,10,671483,671483,0,Sony/TriStar
0,Rambo: First Blood Part II,10,450144920,791293,0,Sony/TriStar
0,Volunteers,10,59116928,594094,0,Sony/TriStar
0,Sweet Dreams,10,14298025,6306941,6,Sony/TriStar
0,Real Genius,10,38462257,338868,0,Sony/TriStar
0,Peggy Sue Got Married,10,62412283,22541232,22,Sony/TriStar
0,The Principal,10,28948774,5228005,5,Sony/TriStar
0,Bat*21,10,1292080,1292080,1,Sony/TriStar
