,Film,Month,Monthly_Cume_Gross,Monthly_Gross,Studio
0,A Nightmare on Elm Street,11,17078480,6733790,New Line
0,A Nightmare On Elm Street P…,11,25817947,8308044,New Line
0,House Party 2,11,27843098,6946265,New Line
0,Man's Best Friend,11,13648265,8447111,New Line
0,Wes Craven's New Nightmare,11,16614984,1517588,New Line
0,The Mask,11,346241743,3636229,New Line
0,The Swan Princess,11,8969472,5784074,New Line
0,Mortal Kombat,11,273731562,1727514,New Line
0,Se7en,11,332410066,11108618,New Line
0,National Lampoon's Senior Trip,11,4622614,176590,New Line
0,Now and Then,11,90696860,10726847,New Line
0,The Long Kiss Goodnight,11,155843350,5481059,New Line
0,Set It Off,11,94201157,28055895,New Line
0,Last Man Standing,11,17952523,251839,New Line
0,Boogie Nights,11,77924885,11438752,New Line
0,Money Talks,11,122347614,805223,New Line
0,Most Wanted,11,24636922,313396,New Line
0,One Night Stand,11,5729018,2348013,New Line
0,Mortal Kombat: Annihilation,11,49748911,28753652,New Line
0,Spawn,11,54942622,35362,New Line
0,Pleasantville,11,132896315,16346043,New Line
0,Blade,11,275515695,1108862,New Line
0,Rush Hour,11,521897588,8415320,New Line
0,Living Out Loud,11,37787138,11406344,New Line
0,American History X,11,8791015,4091868,New Line
0,The Bachelor,11,64005338,20061897,New Line
0,The Astronaut's Wife,11,10672566,55656,New Line
0,Bamboozled,11,6292808,534437,New Line
0,Lost Souls,11,50085852,1043188,New Line
0,The Cell,11,243643444,335570,New Line
0,The Little Vampire,11,50904861,7057583,New Line
0,Little Nicky,11,82429654,34524948,New Line
0,Rush Hour 2,11,1126926789,1432896,New Line
0,Life as a House,11,44638218,13815367,New Line
0,Bones,11,27677885,3010614,New Line
0,Heist,11,70465151,22408420,New Line
0,Austin Powers in Goldmember,11,213117789,149379,New Line
0,Knockaround Guys,11,23237575,312362,New Line
0,Friday After Next,11,44003109,26317496,New Line
0,The Texas Chainsaw Massacre,11,312647613,11418943,New Line
0,Elf,11,358906346,131500922,New Line
0,Secondhand Lions,11,83194300,567713,New Line
0,Raise Your Voice,11,31098963,263237,New Line
