,Film,Month,Monthly_Cume_Gross,Monthly_Gross,Monthly_Gross_Mil,Studio
0,A Midsummer Night's Sex Comedy,7,16502925,6963346,6,Orion Pictures
0,Summer Lovers,7,776862,776862,0,Orion Pictures
0,Yellowbeard,7,3887000,1434680,1,Orion Pictures
0,Zelig,7,906887,522155,0,Orion Pictures
0,Class,7,18955447,11754985,11,Orion Pictures
0,Beat Street,7,47833105,2083533,2,Orion Pictures
0,Cheech & Chong's The Corsic…,7,2446158,2446158,2,Orion Pictures
0,Secret Admirer,7,33622949,855621,0,Orion Pictures
0,The Purple Rose of Cairo,7,21180512,120561,0,Orion Pictures
0,Code of Silence,7,40544212,221365,0,Orion Pictures
0,Desperately Seeking Susan,7,107153927,1218022,1,Orion Pictures
0,The Heavenly Kid,7,2537624,2537624,2,Orion Pictures
0,Back to School,7,229139978,28536166,28,Orion Pictures
0,RoboCop,7,64145786,29622897,29,Orion Pictures
0,Bull Durham,7,86285150,17365606,17,Orion Pictures
0,Navy SEALs,7,24768366,14986663,14,Orion Pictures
0,Bill & Ted's Bogus Journey,7,39921235,24253679,24,Orion Pictures
0,The Arrival,7,54218264,610382,0,Orion Pictures
0,The Substitute,7,14652058,48961,0,Orion Pictures
0,Ulee's Gold,7,16185797,4263147,4,Orion Pictures
0,Breathless,7,1094441,90981,0,Orion Pictures
0,A Midsummer Night's Sex Comedy,8,23718818,1195334,1,Orion Pictures
0,Zelig,8,8351305,2986471,2,Orion Pictures
0,Class,8,68279690,7065782,7,Orion Pictures
0,Easy Money,8,24733805,15593626,15,Orion Pictures
0,Cheech & Chong's The Corsic…,8,3591415,1145257,1,Orion Pictures
0,The Woman in Red,8,30194758,13438550,13,Orion Pictures
0,Secret Admirer,8,8608639,28018,0,Orion Pictures
0,The Heavenly Kid,8,3733571,1195947,1,Orion Pictures
0,Desperately Seeking Susan,8,27337973,167294,0,Orion Pictures
0,The Return of the Living Dead,8,29397070,12474168,12,Orion Pictures
0,Back to School,8,221821426,9834367,9,Orion Pictures
0,Hannah and Her Sisters,8,70562208,136359,0,Orion Pictures
0,Haunted Honeymoon,8,14110290,1145110,1,Orion Pictures
0,RoboCop,8,75554004,10245221,10,Orion Pictures
0,No Way Out,8,36458829,17759133,17,Orion Pictures
