,Film,Month,Monthly_Cume_Gross,Monthly_Gross,Studio
0,The Man Who Wasn't There,8,2064900,2064900,USA Films
0,Blood Simple,8,5208808,619195,USA Films
0,Maybe Baby,8,32653,19147,USA Films
0,Monsoon Wedding,8,67907802,381729,USA Films
0,Rear Window,9,355652,355652,USA Films
0,"Black Cat, White Cat",9,234985,131563,USA Films
0,Lucie Aubrac,9,96869,67176,USA Films
0,Blood Simple,9,8134628,190329,USA Films
0,Nurse Betty,9,64221711,21641581,USA Films
0,Monsoon Wedding,9,55334664,156295,USA Films
0,Rear Window,10,4760125,1342829,USA Films
0,"Black Cat, White Cat",10,1157324,158012,USA Films
0,Lucie Aubrac,10,1235144,289823,USA Films
0,Being John Malkovich,10,1023621,1023621,USA Films
0,Blood Simple,10,5067425,19045,USA Films
0,Nurse Betty,10,95412306,2596751,USA Films
0,Rear Window,11,11058119,1800171,USA Films
0,"Black Cat, White Cat",11,1314674,56257,USA Films
0,Rosetta,11,299433,126719,USA Films
0,Lucie Aubrac,11,1725985,94014,USA Films
0,Being John Malkovich,11,32985504,11439561,USA Films
0,Ride With the Devil,11,110084,86476,USA Films
0,Nurse Betty,11,98673951,849170,USA Films
0,The Man Who Wasn't There,11,17317051,5609537,USA Films
0,Rear Window,12,16356016,857796,USA Films
0,"Black Cat, White Cat",12,696801,2828,USA Films
0,Rosetta,12,899609,73438,USA Films
0,Lucie Aubrac,12,913180,7544,USA Films
0,A Map of the World,12,20878,20878,USA Films
0,Ride With the Devil,12,1701509,406632,USA Films
0,Being John Malkovich,12,83396927,6087571,USA Films
0,Topsy Turvy,12,377480,184712,USA Films
0,Nurse Betty,12,75483027,82552,USA Films
0,Traffic,12,523669,336730,USA Films
0,The Man Who Wasn't There,12,26283252,1258962,USA Films
0,Gosford Park,12,626503,343337,USA Films
0,Ride With the Devil,1,1822154,114063,USA Films
0,Rosetta,1,972212,61318,USA Films
0,Topsy Turvy,1,3125567,1392077,USA Films
0,Being John Malkovich,1,80126899,2194087,USA Films
0,A Map of the World,1,134792,70442,USA Films
0,Rear Window,1,119059,92534,USA Films
0,Traffic,1,168565938,57957893,USA Films
0,The Man Who Wasn't There,1,28799159,450849,USA Films
0,Gosford Park,1,41836382,16299357,USA Films
0,Topsy Turvy,2,14860253,3100128,USA Films
0,A Map of the World,2,317335,89797,USA Films
0,Rear Window,2,2323385,807386,USA Films
0,Being John Malkovich,2,86535471,1284947,USA Films
0,Pitch Black,2,40434180,24640338,USA Films
0,Traffic,2,307866069,29310745,USA Films
0,The Man Who Wasn't There,2,29769118,155958,USA Films
0,Gosford Park,2,99045935,12168718,USA Films
0,Monsoon Wedding,2,96959,96959,USA Films
0,Being John Malkovich,3,112106289,622101,USA Films
0,Pitch Black,3,179291491,13587864,USA Films
0,Topsy Turvy,3,27315751,1158471,USA Films
0,Rear Window,3,6617494,595517,USA Films
0,Agnes Browne,3,201513,108300,USA Films
0,A Map of the World,3,587737,254456,USA Films
0,Traffic,3,520661727,26828671,USA Films
0,Monsoon Wedding,3,12437773,4515966,USA Films
0,Gosford Park,3,180069706,10592050,USA Films
0,Being John Malkovich,4,91168782,201699,USA Films
0,Pitch Black,4,153732441,274367,USA Films
0,Topsy Turvy,4,24309595,330735,USA Films
0,Rear Window,4,1530838,35401,USA Films
0,Where the Money Is,4,14050549,5492370,USA Films
0,A Map of the World,4,866421,33708,USA Films
0,Traffic,4,479821948,7036335,USA Films
0,One Night at McCool's,4,3380529,3380529,USA Films
0,Monsoon Wedding,4,27776198,3785451,USA Films
0,Gosford Park,4,162543438,1275487,USA Films
0,Pitch Black,5,155915967,680317,USA Films
0,Where the Money Is,5,16905129,166570,USA Films
0,A Map of the World,5,949795,29394,USA Films
0,Being John Malkovich,5,22858926,5339,USA Films
0,Topsy Turvy,5,12398126,37526,USA Films
0,Traffic,5,491855609,2039910,USA Films
0,One Night at McCool's,5,23546321,2876820,USA Films
0,Monsoon Wedding,5,52828076,3221673,USA Films
0,Gosford Park,5,205996541,337990,USA Films
0,Pitch Black,6,78458695,52202,USA Films
0,A Map of the World,6,2656531,51581,USA Films
0,Traffic,6,620073350,396010,USA Films
0,One Night at McCool's,6,6276532,19183,USA Films
0,Monsoon Wedding,6,49215770,1039858,USA Films
0,Blood Simple,7,1847569,861344,USA Films
0,A Map of the World,7,544538,447,USA Films
0,Traffic,7,124107476,14243,USA Films
0,Monsoon Wedding,7,52514395,679043,USA Films
