,Month,Studio,avg_Monthly_cume_Gross,avg_Monthly_gross,Total_gross_mil
0,5,United Artists,944488804.166,63123633.7592,63.1236337592
0,6,United Artists,943609218.769,63067909.7261,63.0679097261
0,1,United Artists,942015062.297,62963823.2001,62.9638232001
0,3,United Artists,941268231.059,62903331.6276,62.9033316276
0,10,United Artists,940815595.988,62873046.8252,62.8730468252
0,11,Cinecom,949236343.888,63397335.4937,63.3973354937
0,10,Cinecom,948637300.709,63357185.9797,63.3571859797
0,12,Cinecom,948040259.005,63317389.7185,63.3173897185
0,1,Cinecom,947744500.433,63297762.3255,63.2977623255
0,2,Cinecom,947450443.824,63278032.6321,63.2780326321
0,3,Cinecom,947159723.552,63258326.127,63.258326127
0,4,Cinecom,946868260.245,63238464.6903,63.2384646903
0,5,Cinecom,945983581.303,63178938.2303,63.1789382303
0,6,Cinecom,945394641.276,63139074.9336,63.1390749336
0,7,Cinecom,945104819.073,63119190.7952,63.1191907952
0,8,Cinecom,944222930.521,63059742.7793,63.0597427793
0,9,Cinecom,943929574.423,63039852.5865,63.0398525865
0,3,MGM/UA Classics,943109006.581,62986155.5093,62.9861555093
0,4,MGM/UA Classics,942277179.635,62929247.2268,62.9292472268
0,5,MGM/UA Classics,941685763.672,62889856.1026,62.8898561026
0,8,MGM/UA Classics,940830053.165,62842857.2001,62.8428572001
0,9,MGM/UA Classics,939996150.601,62788144.2109,62.7881442109
0,10,MGM/UA Classics,939181825.21,62737484.5947,62.7374845947
0,11,MGM/UA Classics,938349850.625,62683489.1161,62.6834891161
0,12,MGM/UA Classics,937197950.224,62613816.506,62.613816506
0,1,MGM/UA Classics,936075398.471,62544954.3651,62.5449543651
0,2,MGM/UA Classics,935558914.445,62512417.9334,62.5124179334
0,6,MGM/UA Classics,934976295.584,62474694.33,62.47469433
0,7,MGM/UA Classics,934394629.381,62436644.8204,62.4366448204
0,4,Atlantic,933814749.619,62398571.8624,62.3985718624
0,5,Atlantic,933244638.811,62363252.8097,62.3632528097
0,6,Atlantic,932392975.674,62306652.1409,62.3066521409
0,7,Atlantic,932124841.0,62287863.9994,62.2878639994
0,8,Atlantic,931285107.663,62236916.7158,62.2369167158
0,9,Atlantic,930761238.133,62202323.0715,62.2023230715
0,10,Atlantic,930231215.118,62164994.9714,62.1649949714
0,11,Atlantic,929139699.041,62095199.8743,62.0951998743
0,12,Atlantic,928588596.758,62059066.1222,62.0590661222
0,1,Atlantic,928015564.133,62021821.8028,62.0218218028
0,2,Atlantic,927446328.07,61984417.0081,61.9844170081
0,3,Atlantic,927168159.147,61967084.4024,61.9670844024
0,12,Warner Bros.,846085338.03,56338831.7013,56.3388317013
0,5,Warner Bros.,851340926.395,57035363.5924,57.0353635924
0,6,Warner Bros.,857442514.537,58994369.8514,58.9943698514
0,7,Warner Bros.,871583770.806,61540418.2696,61.5404182696
0,8,Warner Bros.,894846995.348,62548433.5239,62.5484335239
0,9,Warner Bros.,914258900.421,62446060.4396,62.4460604396
0,10,Warner Bros.,929342377.796,62500020.9717,62.5000209717
0,11,Warner Bros.,937749101.847,63227546.9059,63.2275469059
0,1,Warner Bros.,946276198.408,63400677.8637,63.4006778637
0,2,Warner Bros.,952876652.837,63465330.2088,63.4653302088
0,3,Warner Bros.,962703999.185,63949309.2743,63.9493092743
0,4,Warner Bros.,967679703.12,63743681.9471,63.7436819471
0,8,USA Films,926043945.511,61891346.9746,61.8913469746
0,9,USA Films,924938940.173,61821809.6471,61.8218096471
0,10,USA Films,924115796.957,61766226.0262,61.7662260262
0,11,USA Films,923026380.248,61696228.185,61.696228185
0,12,USA Films,921953135.2,61623200.1799,61.6232001799
0,1,USA Films,921202256.049,61590511.8782,61.5905118782
0,2,USA Films,920531380.53,61555738.881,61.555738881
0,3,USA Films,920002417.182,61516917.0688,61.5169170688
0,4,USA Films,919449846.911,61466992.3467,61.4669923467
0,5,USA Films,918905673.076,61413342.611,61.413342611
0,6,USA Films,918293104.579,61357391.2499,61.3573912499
0,7,USA Films,917504896.092,61301541.4651,61.3015414651
