,Film,Month,Monthly_Cume_Gross,Monthly_Gross,Monthly_Gross_Mil,Studio
0,Superman,12,89938786,47333567,47,Warner Bros.
0,Creepshow,12,58711326,2786786,2,Warner Bros.
0,Honkytonk Man,12,6609055,3110396,3,Warner Bros.
0,Best Friends,12,42651125,21293134,21,Warner Bros.
0,The Right Stuff,12,62286776,2814189,2,Warner Bros.
0,Star 80,12,6339053,557758,0,Warner Bros.
0,Risky Business,12,63257957,609620,0,Warner Bros.
0,Never Say Never Again,12,260322014,4644578,4,Warner Bros.
0,Sudden Impact,12,115696182,43702571,43,Warner Bros.
0,Amadeus,12,69719673,3459227,3,Warner Bros.
0,"Oh God, You Devil!",12,60995136,1716593,1,Warner Bros.
0,City Heat,12,71082025,27681678,27,Warner Bros.
0,Purple Rain,12,68248474,369480,0,Warner Bros.
0,The Killing Fields,12,3453190,786008,0,Warner Bros.
0,Protocol,12,17619844,12415510,12,Warner Bros.
0,Rainbow Brite and the Star …,12,4802887,235813,0,Warner Bros.
0,Spies Like Us,12,94345661,38789981,38,Warner Bros.
0,The Color Purple,12,14424702,10413364,10,Warner Bros.
0,Revolution,12,133236,99440,0,Warner Bros.
0,Heartbreak Ridge,12,83297478,31668038,31,Warner Bros.
0,Little Shop of Horrors,12,21910777,15541211,15,Warner Bros.
0,Nuts,12,74621919,10661451,10,Warner Bros.
0,Empire of the Sun,12,8794582,5098899,5,Warner Bros.
0,Tequila Sunrise,12,94279477,29678622,29,Warner Bros.
0,National Lampoon's Christma…,12,187143595,59155035,59,Warner Bros.
0,Batman,12,248958127,43720,0,Warner Bros.
0,Tango & Cash,12,36705142,24499087,24,Warner Bros.
0,Curly Sue,12,29373936,945760,0,Warner Bros.
0,The Last Boy Scout,12,69896824,36729858,36,Warner Bros.
0,JFK,12,34214609,24031889,24,Warner Bros.
0,The Bodyguard,12,240789959,50244091,50,Warner Bros.
0,Passenger 57,12,36554620,2456122,2,Warner Bros.
0,Under Siege,12,74697354,1755851,1,Warner Bros.
0,Malcolm X,12,69513684,6765210,6,Warner Bros.
0,Forever Young,12,36401594,24530083,24,Warner Bros.
0,A Perfect World,12,43895500,10572316,10,Warner Bros.
0,The Pelican Brief,12,137732734,64932945,64,Warner Bros.
0,Grumpy Old Men,12,19308312,9836912,9,Warner Bros.
0,Batman: Mask of the Phantasm,12,4694685,1709976,1,Warner Bros.
0,Natural Born Killers,12,198463822,1283793,1,Warner Bros.
0,Interview with the Vampire:…,12,485610764,15177865,15,Warner Bros.
0,The Specialist,12,276010492,2102330,2,Warner Bros.
0,Cobb,12,798303,194643,0,Warner Bros.
0,Little Giants,12,56732205,815201,0,Warner Bros.
0,Love Affair,12,54346249,249931,0,Warner Bros.
0,Disclosure,12,132505922,54356629,54,Warner Bros.
0,Ri¢hie Ri¢h,12,38875631,22282609,22,Warner Bros.
0,Copycat,12,145864003,4913368,4,Warner Bros.
0,Assassins,12,87260018,875094,0,Warner Bros.
0,It Takes Two,12,84019989,4418497,4,Warner Bros.
0,Fair Game,12,22287187,119045,0,Warner Bros.
0,Les MisÃ©rables,12,1092911,96507,0,Warner Bros.
0,Ace Ventura: When Nature Calls,12,504776392,16447969,16,Warner Bros.
0,Heat,12,77998392,39134037,39,Warner Bros.
0,Grumpier Old Men,12,49584845,33747643,33,Warner Bros.
0,Michael Collins,12,21584214,215901,0,Warner Bros.
0,Sleepers,12,208307366,1465292,1,Warner Bros.
0,Space Jam,12,315101418,15228035,15,Warner Bros.
0,Surviving Picasso,12,3894998,76391,0,Warner Bros.
0,Mars Attacks!,12,63097992,30346187,30,Warner Bros.
0,My Fellow Americans,12,20678617,14674261,14,Warner Bros.
0,Devil's Advocate,12,234031765,2641631,2,Warner Bros.
0,The Man Who Knew Too Little,12,52484856,2063867,2,Warner Bros.
0,L.A. Confidential,12,145970448,2675103,2,Warner Bros.
0,Midnight in the Garden of G…,12,85216979,8266448,8,Warner Bros.
0,Mad City,12,41169663,456694,0,Warner Bros.
0,The Postman,12,10793686,9239619,9,Warner Bros.
0,Practical Magic,12,182638071,1417447,1,Warner Bros.
0,Home Fries,12,37650922,3930736,3,Warner Bros.
0,The Wizard of Oz,12,57426895,791867,0,Warner Bros.
0,Jack Frost,12,55198252,27986763,27,Warner Bros.
0,You've Got Mail,12,93100177,63762374,63,Warner Bros.
0,Three Kings,12,292890391,1421143,1,Warner Bros.
0,Pokemon: The First Movie,12,415381547,5755334,5,Warner Bros.
0,Three to Tango,12,21055557,282545,0,Warner Bros.
0,Liberty Heights,12,6755722,2101224,2,Warner Bros.
0,House on Haunted Hill,12,199863302,1745580,1,Warner Bros.
0,The Green Mile,12,214257651,81566918,81,Warner Bros.
0,Any Given Sunday,12,84531557,43392444,43,Warner Bros.
0,Space Cowboys,12,449615309,473417,0,Warner Bros.
0,Best in Show,12,83251549,1945593,1,Warner Bros.
0,Pay it Forward,12,164380016,793184,0,Warner Bros.
0,The Perfect Storm,12,365223517,56897,0,Warner Bros.
0,Red Planet,12,85676788,1363317,1,Warner Bros.
0,The Exorcist,12,808511501,409541,0,Warner Bros.
0,Get Carter,12,29918339,71661,0,Warner Bros.
0,Into the Arms of Strangers,12,1063025,66823,0,Warner Bros.
0,Proof of Life,12,91230036,29927429,29,Warner Bros.
0,Miss Congeniality,12,84158808,52355250,52,Warner Bros.
0,Harry Potter and the Sorcer…,12,1079097277,69552163,69,Warner Bros.
0,Thirteen Ghosts,12,124806520,1263351,1,Warner Bros.
0,Training Day,12,228296142,928774,0,Warner Bros.
0,Ocean's Eleven,12,398527802,140914794,140,Warner Bros.
0,The Affair of the Necklace,12,1497636,246860,0,Warner Bros.
0,The Majestic,12,33762352,20271226,20,Warner Bros.
0,Charlotte Gray,12,85501,58966,0,Warner Bros.
0,White Oleander,12,16357770,34843,0,Warner Bros.
0,Analyze That,12,91354497,29665339,29,Warner Bros.
0,Harry Potter and the Chambe…,12,922023082,43559858,43,Warner Bros.
0,Ghost Ship,12,117459997,642426,0,Warner Bros.
0,Two Weeks Notice,12,85209692,57683682,57,Warner Bros.
0,Mystic River,12,211923785,2612433,2,Warner Bros.
0,Looney Tunes: Back in Action,12,79801661,1551073,1,Warner Bros.
0,The Matrix Revolutions,12,549138268,3787297,3,Warner Bros.
0,Gothika,12,220774793,13553451,13,Warner Bros.
0,The Last Samurai,12,233145896,82643618,82,Warner Bros.
0,Love Don't Cost a Thing,12,39176957,18256851,18,Warner Bros.
0,A Very Long Engagement,12,6356352,2860035,2,Warner Bros.
0,NASCAR: The IMAX Experience,12,97436633,165790,0,Warner Bros.
0,Alexander,12,166225798,9098359,9,Warner Bros.
0,The Polar Express,12,5283230414,87594594,87,Warner Bros.
0,Ocean's Twelve,12,336174162,110001589,110,Warner Bros.
0,Million Dollar Baby,12,2297504,1131832,1,Warner Bros.
0,The Phantom of the Opera,12,29544694,15806819,15,Warner Bros.
0,North Country,12,54483438,155799,0,Warner Bros.
0,Harry Potter and the Goblet…,12,1285270498,69269534,69,Warner Bros.
0,Charlie and the Chocolate F…,12,206459076,14575,0,Warner Bros.
0,The Corpse Bride,12,159899044,257220,0,Warner Bros.
0,"Kiss Kiss, Bang Bang",12,12196193,560574,0,Warner Bros.
0,Syriana,12,117648049,39264042,39,Warner Bros.
0,Rumor Has It,12,44575000,29499626,29,Warner Bros.
0,Deep Sea 3-D,12,745491168,1516865,1,Warner Bros.
0,The Fountain,12,48255238,3493688,3,Warner Bros.
0,The Departed,12,597363457,3453292,3,Warner Bros.
0,Happy Feet,12,769598127,77454120,77,Warner Bros.
0,Unaccompanied Minors,12,48300120,15726075,15,Warner Bros.
0,Blood Diamond,12,105024858,40071659,40,Warner Bros.
0,The Good German,12,1010880,549768,0,Warner Bros.
0,We Are Marshall,12,47328360,30289979,30,Warner Bros.
0,Letters from Iwo Jima,12,621512,353330,0,Warner Bros.
0,In the Valley of Elah,12,20289069,10103,0,Warner Bros.
0,Michael Clayton,12,156035224,657139,0,Warner Bros.
0,The Assassination of Jesse …,12,15459205,74717,0,Warner Bros.
0,Blade Runner,12,4490319,236130,0,Warner Bros.
0,Harry Potter and the Order …,12,292004738,14146,0,Warner Bros.
0,August Rush,12,115350063,8629978,8,Warner Bros.
0,Fred Claus,12,278993405,10522326,10,Warner Bros.
0,I am Legend,12,482678734,212338204,212,Warner Bros.
0,The Bucket List,12,1277356,981468,0,Warner Bros.
0,"P.S., I Love You",12,45665813,31368257,31,Warner Bros.
0,The Dark Knight,12,2123153799,582971,0,Warner Bros.
0,Appaloosa,12,80189285,124003,0,Warner Bros.
0,RocknRolla,12,17024628,102899,0,Warner Bros.
0,Body of Lies,12,156322204,300826,0,Warner Bros.
0,Nights in Rodanthe,12,166573412,219049,0,Warner Bros.
0,Journey to the Center of th…,12,101704370,10841,0,Warner Bros.
0,Pride and Glory,12,15740721,85973,0,Warner Bros.
0,Four Christmases,12,389261400,62739077,62,Warner Bros.
0,Gran Torino,12,9176770,6887088,6,Warner Bros.
0,Yes Man,12,98737911,65596397,65,Warner Bros.
0,The Invention of Lying,12,36868776,87343,0,Warner Bros.
0,Harry Potter and the Half-B…,12,603911027,29195,0,Warner Bros.
0,The Box,12,59738690,257819,0,Warner Bros.
0,The Informant,12,66624632,25681,0,Warner Bros.
0,Shorts,12,41824370,38050,0,Warner Bros.
0,The Hangover,12,554616918,67061,0,Warner Bros.
0,Where the Wild Things Are,12,303499405,851656,0,Warner Bros.
0,Whiteout,12,20532515,83184,0,Warner Bros.
0,The Blind Side,12,658705738,87738940,87,Warner Bros.
0,Under the Sea 3D,12,670569102,974900,0,Warner Bros.
0,Ninja Assassin,12,141351319,12542968,12,Warner Bros.
0,Invictus,12,57334181,26677133,26,Warner Bros.
0,Sherlock Holmes,12,102102956,102102956,102,Warner Bros.
0,The Town,12,460277631,653658,0,Warner Bros.
0,Due Date,12,484550798,12648376,12,Warner Bros.
0,Inception,12,1462556087,259721,0,Warner Bros.
0,Life as We Know It,12,262396405,962000,0,Warner Bros.
0,Harry Potter and the Deathl…,12,1343897837,57807731,57,Warner Bros.
0,Hubble 3D,12,589402652,1918880,1,Warner Bros.
0,Legend of the Guardians: Th…,12,276305555,985491,0,Warner Bros.
0,Hereafter,12,162988944,340700,0,Warner Bros.
0,Yogi Bear,12,150180696,68795521,68,Warner Bros.
0,Happy Feet Two,12,292106061,15344433,15,Warner Bros.
0,A Very Harold & Kumar 3D Ch…,12,172057959,2877809,2,Warner Bros.
0,Contagion,12,151252081,162725,0,Warner Bros.
0,Dolphin Tale,12,357329978,1670875,1,Warner Bros.
0,J. Edgar,12,177896184,6490751,6,Warner Bros.
0,Born to be Wild 3D,12,355903108,988479,0,Warner Bros.
0,New Yearâs Eve,12,135168796,48760797,48,Warner Bros.
0,Sherlock Holmes: A Game of …,12,312136009,143360061,143,Warner Bros.
0,Extremely Loud and Incredib…,12,601818,399544,0,Warner Bros.
0,Argo,12,426060383,7640029,7,Warner Bros.
0,To the Arctic 3D,12,98887885,507681,0,Warner Bros.
0,Trouble with the Curve,12,35763137,28129,0,Warner Bros.
0,Cloud Atlas,12,106777675,522533,0,Warner Bros.
0,The Dark Knight Rises,12,448139099,32788,0,Warner Bros.
0,The Hobbit: An Unexpected J…,12,549143221,246289507,246,Warner Bros.
0,Gravity,12,1014399223,4361022,4,Warner Bros.
0,The Hobbit: The Desolation …,12,469899385,194452690,194,Warner Bros.
0,Her,12,3261555,1615683,1,Warner Bros.
0,Grudge Match,12,25628279,14888064,14,Warner Bros.
0,Horrible Bosses 2,12,186086403,24660084,24,Warner Bros.
0,The Judge,12,187360219,806742,0,Warner Bros.
0,Annabelle,12,168510842,103689,0,Warner Bros.
0,Island of Lemurs: Madagascar,12,85967082,216398,0,Warner Bros.
0,Dolphin Tale 2,12,84033008,49824,0,Warner Bros.
0,The Good Lie,12,10681665,129636,0,Warner Bros.
0,Inherent Vice,12,2428560,1211585,1,Warner Bros.
0,The Hobbit: The Battle of t…,12,360373255,198869927,198,Warner Bros.
0,American Sniper,12,1792590,1552379,1,Warner Bros.
0,Creed,12,343096823,49787609,49,Warner Bros.
0,The 33,12,47664607,563475,0,Warner Bros.
0,Our Brand is Crisis,12,13988242,43351,0,Warner Bros.
0,Pan,12,139759362,473080,0,Warner Bros.
0,The Intern,12,300924530,917306,0,Warner Bros.
0,In the Heart of the Sea,12,59515910,23063385,23,Warner Bros.
0,Point Break,12,15584535,15584535,15,Warner Bros.
0,The Wanderers,12,10035434,4465,0,Warner Bros.
0,Sully,12,624295205,508010,0,Warner Bros.
0,Fantastic Beasts and Where …,12,1049753616,62294170,62,Warner Bros.
0,The Accountant,12,426917583,2572177,2,Warner Bros.
0,Storks,12,360166477,1305850,1,Warner Bros.
0,Collateral Beauty,12,61212382,28555265,28,Warner Bros.
0,Live by Night,12,216108,141490,0,Warner Bros.
0,Outland,5,10857586,6988586,6,Warner Bros.
0,Chariots of Fire,5,188173026,8315527,8,Warner Bros.
0,Deathtrap,5,70733559,3127458,3,Warner Bros.
0,Mad Max 2: The Road Warrior,5,10000936,6481834,6,Warner Bros.
